Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
2615,0#123,0#647,4057.json,3#3,0.9332983493804932#0.9290785789489746,0.9085512010070121#0.9616163564392756,0#0,0#0,0#0,1#1,3.77#1.89,0#0,0#0,12.0#12.0,133.59722900390625#133.59722900390625,0#0,0#0,0#0,0#0,0#17,0#0,0#0,0#0,0#0
41,0,0,3764.json,21,0.005640480667352676,3.204911565404114E-9,2,2,4,3,4.92,2,12,175.0,84.96158599853516,0,3,0,0,0,0,0,0,0
2535,0#2#11#9#2#2#123#9#2#45#4#443#8#4#1,0#0#2#3#144#214#567#597#605#617#758#1092#1092#1092#1531,22.json,17#17#21#20#20#21#21#21#21#23#23#41#42#42#47,3.0286042601801455E-4#3.0473945662379265E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,2.0544334182749177E-8#1.8234261540183086E-8#8.642072706572093E-12#1.3924251462899278E-10#1.3892635560318685E-10#3.071555592508738E-11#3.018989944226741E-11#3.015631880518851E-11#3.066958458806138E-11#4.230052219104996E-15#4.213275866004874E-15#2.0297211670239106E-22#2.7446727008082304E-23#1.0834059782864634E-24#3.1800926244112208E-28,3#3#5#5#5#5#5#5#5#5#5#7#7#7#9,4#4#6#6#6#6#6#6#6#6#6#9#9#9#12,7#7#11#11#11#11#11#11#11#11#11#16#16#16#21,5#5#6#6#6#6#6#6#6#6#6#9#9#9#10,4.29#4.29#4.19#4.25#4.25#4.19#4.01#4.01#4.01#3.83#3.83#3.17#3.11#3.11#3.27,3#3#3#3#3#3#3#3#3#3#3#2#2#2#3,12#12#14#13#13#14#14#14#14#18#18#42#41#44#45,157.0#157.0#203.0#190.0#190.0#198.0#198.0#198.0#198.0#244.0#244.0#377.0#389.0#401.0#441.0,88.36204528808594#88.34231567382812#83.2247314453125#84.43049621582031#84.43049621582031#83.3893814086914#83.3893814086914#83.3893814086914#83.3893814086914#80.71202087402344#80.71202087402344#68.2620849609375#67.66832733154297#67.47154998779297#64.81737518310547,2#2#2#2#2#2#2#2#2#2#2#2#2#2#2,4#4#4#4#4#4#4#4#4#4#4#6#6#6#8,0#2#16#1#0#1#0#2#4#8#2#91#7#2#8,0#1#11#0#0#1#0#1#2#6#1#61#5#1#7,0#4#341#67#1#85#8#12#36#301#4#1700#161#49#200,0#4#272#63#0#81#0#12#36#242#4#1297#106#49#183,0#1#0#0#0#1#0#0#0#0#0#0#0#0#0,0#1#1#1#0#1#0#0#0#0#0#0#0#0#0,0#1#1#1#0#1#0#0#0#0#0#0#0#0#0
1252,0#49,0#73,3340.json,4#4,0.4483388662338257#0.32963553071022034,0.9226391376602234#0.9291878727515553,0#0,0#0,0#0,1#1,2.0#2.0,0#0,2#2,20.0#20.0,125.78216552734375#125.9302749633789,0#0,0#0,0#2,0#1,0#1,0#1,0#0,0#0,0#0
1436,0,0,3998.json,3,0.03919447213411331,0.7008211770736091,0,0,0,1,1.89,0,2,24.0,129.12539672851562,2,0,0,0,0,0,0,0,0
2293,0#1#123#103#48,0#191#326#366#368,1565.json,13#15#15#5#8,0.10886400192975998#0.05014914274215698#0.05014914274215698#0.6383480429649353#0.9376809597015381,0.1463977661171172#0.12351879706371013#0.12351879706371013#0.9261723673293366#0.8136710182665364,1#1#1#1#1,1#1#1#1#1,2#2#2#2#2,5#5#5#2#2,2.65#2.61#2.61#2.99#2.4,0#1#1#0#0,7#8#8#2#3,73.0#79.0#79.0#24.0#39.0,98.06896209716797#95.27362060546875#95.27362060546875#120.98916625976562#110.10726928710938,0#0#0#0#0,3#3#3#0#0,0#4#0#15#5,0#3#0#1#5,0#41#0#335#90,0#42#0#280#76,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
1435,0#4#4,0#7#9,1402.json,3#3#3,0.8477669358253479#0.8058069348335266#0.8058069348335266,0.9865655203709923#0.9320034818549725#0.9347076123169185,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,14.0#14.0#14.0,132.4454345703125#132.4454345703125#132.4454345703125,1#1#1,0#0#0,0#6#2,0#3#1,0#50#2,0#2#2,0#0#0,0#0#0,0#0#0
1782,0#9,0#86,891.json,4#4,0.015725770965218544#0.23337143659591675,0.15574940559211461#0.43150531240419937,0#0,0#0,0#0,1#1,2.0#2.0,0#0,1#1,35.0#28.0,121.83938598632812#123.28931427001953,1#1,0#0,0#4,0#2,0#26,0#26,0#0,0#0,0#0
1061,0,0,2027.json,3,0.7886679768562317,0.8618312444313655,0,0,0,1,1.89,0,0,18.0,130.85629272460938,1,0,0,0,0,0,0,0,0
1605,0,0,3612.json,3,0.48318782448768616,0.8079192735512922,0,0,0,1,1.89,0,0,19.0,130.57513427734375,0,0,0,0,0,0,0,0,0
1839,0#2#443#23#3#1#3#2#9#2,0#0#396#396#406#406#474#553#658#658,410.json,2#2#2#56#69#71#71#71#71#70,0.6009414792060852#0.998900830745697#0.9987210631370544#0.0#0.0#0.0#0.0#0.0#0.0#0.0,0.8905634212608539#0.9829921226756356#0.975946613689105#2.456254222523259E-47#3.564263360176365E-56#1.532831320185412E-56#1.5298325450913136E-56#3.899672692649096E-56#9.162302322638087E-58#6.064456074686067E-58,0#0#0#5#5#5#5#5#6#6,0#0#0#3#3#3#3#3#4#4,0#0#0#8#8#8#8#8#10#10,1#1#1#4#4#4#4#4#5#5,0.0#0.0#0.0#3.65#3.58#4.1#4.1#4.1#4.07#4.1,0#0#0#3#3#3#3#3#3#3,0#0#0#41#47#47#47#47#47#47,11.0#9.0#10.0#586.0#682.0#689.0#689.0#686.0#698.0#698.0,140.82913208007812#142.4026641845703#141.56829833984375#61.47734832763672#57.17953872680664#56.67607498168945#56.67607498168945#56.705101013183594#56.34761428833008#56.5774040222168,1#0#0#0#0#0#0#0#0#0,0#0#0#19#24#24#24#24#24#24,0#3#2#70#16#25#2#4#3#3,0#2#1#70#16#13#1#2#2#1,0#41#10#2745#648#150#1#12#104#13,0#40#10#2499#404#66#1#13#39#1,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0
1436,0,0,4000.json,3,5.568669294007123E-4,0.7011041555440793,0,0,0,1,1.89,0,1,26.0,128.8216552734375,2,0,0,0,0,0,0,0,0
1715,0#28#6#1,0#524#529#989,1041.json,3#3#3#4,0.04972479119896889#0.29422637820243835#0.11453827470541#0.12522070109844208,0.35055039906498087#0.5863276874317116#0.4881405661976274#0.05503385568052521,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.96,0#0#0#0,1#1#1#2,30.0#25.0#27.0#44.0,127.51214599609375#128.53907775878906#128.0600128173828#120.3629150390625,2#1#1#1,0#0#0#1,0#4#2#4,0#2#1#3,0#12#3#211,0#12#3#86,0#0#0#0,0#0#0#1,0#0#0#1
2483,0#9#74#20#1#1#11#4#57#1#65#2#81,0#72#145#152#202#227#307#339#407#407#505#515#738,285.json,47#47#47#47#47#49#49#49#49#49#49#49#49,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,1.7705337540034606E-18#2.20333457405724E-18#1.2145789275648793E-18#1.4941725889809167E-18#1.5142303528887323E-18#5.877148886608667E-20#4.925530599994053E-20#8.793744110280853E-21#2.4118084063522766E-19#2.4007872504031154E-19#2.4637944216213133E-19#2.4637944216213133E-19#2.4637944216213133E-19,9#9#9#9#9#9#9#9#9#9#9#9#9,8#8#8#8#8#8#8#8#8#8#8#8#8,17#17#17#17#17#17#17#17#17#17#17#17#17,11#11#11#11#11#11#11#11#11#11#11#11#11,7.37#7.37#7.37#7.37#7.37#7.27#7.27#7.27#7.27#7.27#7.27#7.27#7.27,7#7#7#7#7#7#7#8#8#8#8#8#8,29#28#28#28#28#30#30#31#29#29#29#29#29,300.0#299.0#301.0#301.0#301.0#320.0#320.0#328.0#316.0#316.0#316.0#316.0#316.0,66.7775650024414#66.79492950439453#66.74658966064453#66.76026153564453#66.76026153564453#65.7668685913086#65.7531967163086#65.62479400634766#65.87450408935547#65.87450408935547#65.87450408935547#65.87450408935547#65.87450408935547,1#1#1#1#1#1#1#1#1#1#1#1#1,9#9#9#9#9#10#10#10#10#10#10#10#10,0#2#2#6#4#4#2#4#4#2#4#0#4,0#1#1#3#2#3#1#2#2#1#2#0#2,0#6#7#28#10#148#4#21#59#1#16#0#2,0#6#7#28#10#140#4#21#59#1#16#0#2,0#0#0#0#0#1#0#0#0#0#0#0#0,0#0#0#0#0#1#0#1#0#0#0#1#0,0#0#0#0#0#1#0#1#0#0#0#1#0
1928,0#2#34,0#108#126,92.json,3#3#3,0.03579435870051384#0.10001076757907867#0.08812382072210312,0.387363512656401#0.5148506336278432#0.4948029638443481,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,3#3#3,28.0#25.0#25.0,128.0337677001953#128.712890625#128.712890625,0#0#0,0#0#0,0#2#4,0#1#2,0#26#10,0#26#10,0#1#0,0#1#0,0#1#0
1292,0#2,0#224,3789.json,4#6,0.009570376947522163#0.029605356976389885,0.47093237438923125#0.475295884462331,0#1,0#1,0#2,1#2,2.0#2.75,0#1,3#3,33.0#39.0,122.4349365234375#114.61461639404297,2#2,0#0,0#4,0#3,0#49,0#35,0#0,0#0,0#0
378,0,0,1147.json,2,0.9976702332496643,0.9561277751996801,0,0,0,1,0.0,0,0,11.0,140.82913208007812,1,0,0,0,0,0,0,0,0
922,0,0,2405.json,9,0.08499358594417572,0.4596449246786541,2,2,4,2,2.67,1,5,43.0,107.69146728515625,0,0,0,0,0,0,0,0,0
1209,0#10#147,0#244#1168,366.json,23#23#11,0.0#0.0#0.0019786511547863483,3.881246415943077E-17#3.1956058332439567E-17#0.010150881230623895,0#0#0,0#0#0,0#0#0,1#1#1,2.57#2.57#2.67,1#1#1,20#21#5,265.0#266.0#78.0,81.66297912597656#81.64339447021484#101.04997253417969,0#0#0,5#5#0,0#4#32,0#2#7,0#135#862,0#128#790,0#0#0,0#0#0,0#0#0
782,0,0,3032.json,3,0.10372745990753174,0.6068819116264427,0,0,0,1,1.89,0,1,22.0,129.47398376464844,1,0,0,0,0,0,0,0,0
2082,0#123,0#114,2202.json,9#9,0.2752445936203003#0.2752445936203003,0.20579937540835375#0.20579937540835375,3#3,1#1,4#4,2#2,2.95#2.95,1#1,4#4,50.0#50.0,106.55463409423828#106.55463409423828,1#1,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0
2364,0#1#16#123,0#53#107#397,1376.json,7#7#7#7,0.9264125823974609#0.9264125823974609#0.9264125823974609#0.9204728007316589,0.9027648449671627#0.9011481446701786#0.896866563238447#0.8206453222094462,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,5.42#5.42#5.42#1.81,0#0#0#0,0#0#0#0,33.0#33.0#33.0#33.0,113.63934326171875#113.63934326171875#113.63934326171875#113.63934326171875,0#0#0#0,0#0#0#0,0#2#2#0,0#1#1#0,0#8#6#32,0#8#6#0,0#0#0#0,0#0#0#0,0#0#0#0
1103,0,0,748.json,3,0.969488799571991,0.9542438680534124,0,0,0,1,1.89,0,0,13.0,132.9956512451172,0,0,0,0,0,0,0,0,0
2067,0#9#8#34#123,0#8#17#32#99,202.json,3#3#3#3#3,0.05483948811888695#0.6128652095794678#0.5984132885932922#0.5788789391517639#0.5788789391517639,0.13927302910544165#0.3822403746627478#0.39073040869089654#0.37529561011638#0.37529561011638,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,1.89#1.89#1.89#1.89#1.89,0#0#0#0#0,3#1#1#1#1,32.0#24.0#24.0#24.0#24.0,127.17654418945312#128.92515563964844#128.92515563964844#128.92515563964844#128.92515563964844,1#1#1#1#1,0#0#0#0#0,0#4#2#4#0,0#2#1#2#0,0#28#3#8#0,0#28#3#8#0,0#0#0#0#0,0#1#0#0#0,0#1#0#0#0
333,0,0,2561.json,18,0.0,2.2411755714263504E-11,0,0,0,2,2.47,1,20,199.0,86.83531188964844,1,5,0,0,0,0,0,0,0
1678,0#6,0#49,867.json,6#4,0.3389976918697357#0.3015013337135315,0.26465905440215304#0.11974053865724048,1#1,1#1,2#2,2#2,2.75#2.0,1#0,1#1,39.0#38.0,114.4151611328125#121.1187744140625,2#2,0#0,0#8,0#3,0#65,0#51,0#0,0#1,0#1
1395,0,0,3040.json,4,0.0,0.00199664220413,0,0,0,1,2.0,0,3,56.0,118.75946807861328,2,1,0,0,0,0,0,0,0
2400,0#29#123,0#199#432,2112.json,3#3#3,0.6580154895782471#0.7014116048812866#0.7014116048812866,0.8552935603023128#0.8642875709640687#0.8642875709640687,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#1#1,16.0#16.0#16.0,131.60296630859375#131.60296630859375#131.60296630859375,0#0#0,0#0#0,0#2#0,0#1#0,0#4#0,0#4#0,0#0#0,0#0#0,0#0#0
1443,0,0,191.json,4,0.014580770395696163,0.7047663206150228,0,0,0,1,2.0,0,2,30.0,123.41707611083984,1,0,0,0,0,0,0,0,0
1253,0#5,0#2,567.json,6#3,0.018343111500144005#0.0013593310723081231,0.09113537450246786#0.40936187552019115,0#0,0#0,0#0,1#1,1.89#1.89,0#0,3#1,47.0#29.0,113.67491912841797#127.94110107421875,3#3,1#0,0#5,0#1,0#109,0#97,0#0,0#1,0#1
1255,0,0,3270.json,4,0.4497511684894562,0.770231978859642,2,1,3,2,2.0,0,1,28.0,123.43335723876953,1,0,0,0,0,0,0,0,0
2165,0#71#123#1#27#77#443,0#140#197#200#267#363#722,4111.json,42#42#42#50#50#50#50,0.0#0.0#0.0#0.0#0.0#0.0#0.0,9.512500859600297E-22#1.713563121540976E-21#1.713563121540976E-21#9.628255711575738E-25#7.044406222643284E-25#7.040369835734062E-25#1.7389865988924588E-24,18#18#18#18#18#18#18,20#20#20#21#21#21#21,38#38#38#39#39#39#39,12#12#12#13#13#13#13,5.46#5.46#5.46#6.39#6.39#6.39#6.39,5#5#5#6#6#6#6,29#29#29#32#32#32#32,367.0#367.0#367.0#408.0#408.0#408.0#405.0,67.6844482421875#67.72509765625#67.72509765625#63.914268493652344#63.89752197265625#63.89752197265625#63.95264434814453,6#6#6#6#6#6#5,9#9#9#9#9#9#9,0#20#0#57#10#2#2,0#10#0#33#5#1#1,0#35#0#426#32#5#18,0#35#0#341#32#5#18,0#0#0#0#0#0#0,0#0#0#1#0#0#0,0#0#0#1#0#0#0
1983,0#4#10#2,0#0#0#16,268.json,4#4#4#4,0.038260314613580704#0.04405633360147476#0.0347980298101902#0.03241045027971268,0.016572293848385725#0.025649957859620934#0.04162324479614745#0.032991683343005486,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,2.0#2.0#2.0#2.0,0#0#0#0,4#4#4#4,46.0#46.0#44.0#44.0,120.08187103271484#120.08187103271484#120.3629150390625#120.3629150390625,2#2#2#2,0#0#0#0,0#8#2#0,0#4#1#0,0#32#18#16,0#0#18#0,0#0#0#0,0#0#0#1,0#0#0#1
1443,0#7#5#3#18,0#263#396#1056#1426,2353.json,32#31#31#30#28,0.0#0.0#1.6238422540482134E-4#2.482123381923884E-4#7.376662106253207E-4,3.26609687115575E-14#1.3523015707799104E-13#4.943262256378366E-13#2.985006151767655E-12#1.4733406876581233E-10,6#6#6#4#2,5#5#5#4#3,11#11#11#8#5,6#6#6#5#4,5.27#5.33#5.33#5.33#3.78,2#2#2#2#1,19#17#17#17#16,237.0#229.0#223.0#213.0#191.0,75.4671859741211#76.17525482177734#76.31331634521484#77.3285140991211#79.34112548828125,2#2#2#2#1,0#0#0#0#0,0#1#2#1#47,0#0#1#0#22,0#48#45#64#196,0#44#45#81#198,0#0#0#0#0,0#0#1#1#0,0#0#1#1#0
553,0#5#5#8#3,0#3#8#161#180,984.json,7#8#9#9#13,0.18414020538330078#0.002854745602235198#0.0011743302457034588#0.0011743302457034588#1.5375223301816732E-4,0.0034590486418581983#1.829434994325645E-4#4.0201872827501556E-5#4.0201872827501556E-5#4.144970106513451E-5,1#1#2#2#2,1#1#2#2#2,2#2#4#4#4,2#2#3#3#4,2.56#2.95#2.99#2.99#3.8,1#1#1#1#2,1#3#3#3#3,66.0#85.0#95.0#95.0#106.0,108.86097717285156#105.2083969116211#102.41407012939453#102.41407012939453#95.51606750488281,3#3#4#4#4,1#1#1#1#1,0#6#5#0#18,0#4#3#0#12,0#277#54#0#458,0#114#63#0#115,0#0#0#0#0,0#0#0#0#1,0#0#0#0#1
1608,0,0,2588.json,3,0.9771031141281128,0.9576022809707236,0,0,0,1,1.89,0,0,13.0,132.9956512451172,0,0,0,0,0,0,0,0,0
1795,0#13#5,0#18#99,656.json,7#7#7,0.013986745849251747#0.013913062401115894#0.013913062401115894,0.08785209801549401#0.08973398278171317#0.08973398278171317,0#0#0,1#1#1,1#1#1,3#3#3,4.12#4.12#4.12,2#2#2,1#1#1,52.0#52.0#52.0,110.02054595947266#110.02054595947266#110.02054595947266,1#1#1,1#1#1,0#4#7,0#2#7,0#3#0,0#3#0,0#0#0,0#1#0,0#1#0
9,0,0,3257.json,3,0.8437752723693848,0.9838483163006401,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
1670,0,0,3729.json,3,0.3865344226360321,0.9660658107740867,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
748,0,0,3163.json,3,0.859428346157074,0.8614726501616853,0,0,0,1,1.89,0,1,18.0,130.7338104248047,0,0,0,0,0,0,0,0,0
2093,0#6#35#35#123,0#8#16#17#125,242.json,10#10#10#10#10,0.20250961184501648#0.20250961184501648#0.24570082128047943#0.24570082128047943#0.24570082128047943,0.027529270952766405#0.027529270952766405#0.04295164520384434#0.04295164520384434#0.04295164520384434,2#2#2#2#2,1#1#1#1#1,3#3#3#3#3,2#2#2#2#2,2.86#2.86#2.86#2.86#2.86,1#1#1#1#1,7#7#7#7#7,67.0#67.0#65.0#65.0#65.0,103.05249786376953#103.05249786376953#103.25997924804688#103.25997924804688#103.25997924804688,1#1#1#1#1,2#2#2#2#2,0#0#2#0#0,0#0#1#0#0,0#0#4#0#0,0#0#4#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
1443,0,0,486.json,3,0.0,0.05904439307309719,0,0,0,1,1.89,0,2,40.0,125.80547332763672,5,0,0,0,0,0,0,0,0
1164,0,0,433.json,3,4.3545771040953696E-4,0.7583904546368505,0,0,0,1,1.89,0,1,27.0,128.7478790283203,3,0,0,0,0,0,0,0,0
1671,0#2,0#713,2706.json,3#3,0.6049124002456665#2.1394008945208043E-4,0.5981890052931933#0.11766751067290775,0#0,0#0,0#0,1#1,1.89#1.89,0#0,1#1,23.0#37.0,129.34671020507812#126.42160034179688,0#0,0#0,0#2,0#1,0#53,0#53,0#0,0#1,0#1
782,0,0,2742.json,16,0.00201035407371819,2.2851835212159871E-7,1,1,2,2,4.12,1,11,127.0,91.24170684814453,2,1,0,0,0,0,0,0,0
1916,0,0,150.json,3,0.7288740873336792,0.9272319933422228,0,0,0,1,1.89,0,1,14.0,132.61029052734375,0,0,0,0,0,0,0,0,0
1917,0#45#11,0#0#1,153.json,7#7#7,0.003192054107785225#0.009729715064167976#0.007311275228857994,0.0798160570807135#0.3219597617994532#0.3283114933478203,1#1#1,1#1#1,2#2#2,2#2#2,3.02#3.02#3.02,1#1#1,4#2#2,51.0#43.0#43.0,110.72240447998047#111.76275634765625#111.76275634765625,2#2#2,0#0#0,0#4#4,0#2#2,0#55#17,0#55#17,0#0#0,0#0#0,0#0#0
2635,0#21#123,0#21#668,2198.json,7#8#8,0.5425673127174377#0.9744116067886353#0.9744116067886353,0.5485489965250031#0.7941006890436375#0.7941006890436375,2#1#1,1#1#1,3#2#2,2#2#2,2.56#2.4#2.4,0#0#0,3#2#2,39.0#40.0#40.0,112.1916275024414#109.82251739501953#109.82251739501953,1#1#1,0#1#1,0#11#0,0#7#0,0#77#0,0#72#0,0#0#0,0#1#0,0#1#0
1855,0#443#2#13,0#412#462#546,3318.json,5#4#4#4,0.051284052431583405#0.11914366483688354#0.11914366483688354#0.11914366483688354,0.452183193089781#0.6131337420721718#0.6131337420721718#0.6131337420721718,1#1#1#1,1#1#1#1,2#2#2#2,2#2#2#2,1.96#2.0#2.0#2.0,0#0#0#0,3#2#2#2,37.0#31.0#31.0#31.0,117.84197235107422#122.53004455566406#122.53004455566406#122.53004455566406,1#1#1#1,0#0#0#0,0#1#0#0,0#0#0#0,0#31#0#0,0#23#0#0,0#0#0#0,0#0#0#0,0#0#0#0
1964,0,0,2163.json,3,0.4608108699321747,0.9423983840351265,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
1184,0,0,3834.json,4,0.6691296696662903,0.7955404164691434,0,0,0,1,2.0,0,0,23.0,124.7987289428711,1,0,0,0,0,0,0,0,0
1306,0#2,0#53,3213.json,3#4,0.9699611067771912#0.9652372002601624,0.9719475927327462#0.9711739742374421,0#0,0#0,0#0,1#1,1.89#2.0,0#0,0#0,13.0#17.0,132.9956512451172#126.77537536621094,0#0,0#0,0#1,0#1,0#25,0#17,0#0,0#0,0#0
1677,0#1,0#56,1006.json,4#4,0.0#0.0,3.9256264212160513E-4#0.008326974980873883,0#0,0#0,0#0,1#1,2.0#2.0,0#0,4#2,70.0#54.0,118.05509185791016#119.58448028564453,2#2,0#0,0#4,0#2,0#42,0#42,0#0,0#0,0#0
1928,0#2#34,0#108#126,90.json,3#3#3,0.028227537870407104#0.08909587562084198#0.10732372105121613,0.3771639680419949#0.5191123985309287#0.5006096376749064,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,3#3#3,28.0#25.0#25.0,128.0337677001953#128.712890625#128.712890625,0#0#0,0#0#0,0#2#4,0#1#2,0#16#10,0#16#10,0#1#0,0#1#0,0#1#0
41,0,0,1922.json,3,0.941766083240509,0.9640878495352958,0,0,0,1,1.89,0,0,14.0,132.61029052734375,0,0,0,0,0,0,0,0,0
961,0,0,3190.json,3,0.003445751266553998,0.42028503955898816,0,0,0,1,1.89,0,1,27.0,128.22288513183594,2,0,0,0,0,0,0,0,0
2165,0#123#18,0#197#956,4172.json,3#3#3,0.004307799972593784#0.004307799972593784#7.136500789783895E-4,0.604537025782294#0.604537025782294#0.5354838098673742,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#1#1,25.0#25.0#27.0,129.0255889892578#129.0255889892578#128.62539672851562,2#2#2,0#0#0,0#0#2,0#0#1,0#0#7,0#0#7,0#0#0,0#0#0,0#0#0
2615,0#123,0#647,4132.json,3#3,0.6519619226455688#0.6499922871589661,0.43968201789421013#0.6417274015910049,0#0,0#0,0#0,1#1,3.77#1.89,0#0,0#0,23.0#23.0,129.05665588378906#129.05665588378906,0#0,0#0,0#0,0#0,0#16,0#0,0#0,0#0,0#0
2085,0#2#123#6#443#5,0#0#117#435#642#957,674.json,12#13#13#13#13#13,0.088565893471241#0.09060287475585938#0.09060287475585938#0.09838605672121048#0.09838605672121048#0.1102428138256073,0.031701220054641585#0.018603449008731655#0.018603449008731655#0.015320587689962186#0.015611538425370755#0.015644998943316578,2#2#2#2#2#2,1#1#1#1#1#1,3#3#3#3#3#3,3#3#3#3#3#3,3.83#4.01#4.01#4.01#4.01#4.01,2#2#2#2#2#2,11#11#11#11#11#11,70.0#74.0#74.0#75.0#75.0#75.0,99.69100952148438#97.96163940429688#97.96163940429688#97.8476333618164#97.8476333618164#97.8476333618164,0#0#0#0#0#0,0#0#0#0#0#0,0#1#0#2#2#2,0#1#0#1#1#1,0#46#0#17#2#6,0#38#0#17#2#6,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0
1443,0,0,3237.json,3,0.9261762499809265,0.9555332537242773,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
579,0#4,0#321,3498.json,3#3,0.6151500940322876#0.15663854777812958,0.8327094772904801#0.6493993866625021,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,18.0#23.0,130.7338104248047#129.34671020507812,0#0,0#0,0#2,0#1,0#40,0#40,0#0,0#0,0#0
1841,0#4#4,0#13#607,614.json,10#10#10,0.8285842537879944#0.8285842537879944#0.8392102122306824,0.8907821578175261#0.8907821578175261#0.8925337614619231,0#0#0,0#0#0,0#0#0,3#3#3,3.82#3.82#3.82,2#2#2,2#2#2,42.0#42.0#42.0,105.65377044677734#105.65377044677734#105.65377044677734,0#0#0,1#1#1,0#0#2,0#0#1,0#0#5,0#0#5,0#0#0,0#0#0,0#0#0
1564,0#443#6#2#5,0#121#134#166#436,4042.json,55#55#55#55#55,0.0#0.0#0.0#0.0#0.0,1.8431904198363614E-39#4.6624287397902616E-38#4.670332048567771E-38#7.274313768032686E-38#7.227555436802161E-38,8#8#8#8#8,9#9#9#9#9,17#17#17#17#17,11#11#11#11#11,6.12#6.12#6.12#6.12#6.12,5#5#5#5#5,48#41#41#41#41,539.0#527.0#527.0#525.0#525.0,60.964210510253906#61.103336334228516#61.103336334228516#61.12310791015625#61.12310791015625,0#0#0#0#0,13#13#13#13#13,0#18#2#2#2,0#9#1#1#1,0#97#5#8#5,0#97#5#8#5,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
1208,0#4#1,0#0#789,4162.json,3#16#16,0.35380586981773376#0.0#0.0,0.8160148197406587#3.1337763505947027E-10#1.0635607535263E-10,0#4#5,0#3#4,0#7#9,1#5#5,1.89#3.12#3.12,0#2#2,3#13#14,19.0#164.0#168.0,130.57513427734375#89.1789321899414#89.01214599609375,0#0#0,0#6#6,0#16#2,0#16#1,0#596#19,0#547#19,0#0#0,0#0#1,0#0#1
2168,0#123#1#1#8,0#200#533#535#1529,186.json,15#15#18#17#17,0.050181690603494644#0.050181690603494644#0.03320902958512306#0.035776104778051376#0.02117205038666725,1.3665674909492958E-5#1.3665674909492958E-5#1.1694798570186522E-6#7.432616401982224E-6#8.376040619198829E-7,4#4#4#4#4,4#4#4#4#4,8#8#8#8#8,4#4#5#5#5,3.22#3.22#3.05#3.09#3.09,2#2#2#2#2,9#9#10#9#11,116.0#116.0#135.0#125.0#135.0,92.72904968261719#92.72904968261719#88.60250091552734#89.98773193359375#89.5284652709961,1#1#1#1#1,2#2#3#2#2,0#0#4#3#6,0#0#4#1#3,0#0#91#134#32,0#0#80#130#32,0#0#0#0#0,0#0#1#0#0,0#0#1#0#0
1833,0#4,0#224,1095.json,4#4,0.4149705171585083#0.9093225598335266,0.25382559828415646#0.8160294971784303,1#1,1#1,2#2,2#2,2.0#2.0,0#0,3#2,35.0#25.0,121.82011413574219#124.13514709472656,0#0,1#1,0#2,0#1,0#46,0#46,0#0,0#0,0#0
