Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
502,0#837#997#1367#63,0#0#0#0#14,35375.json,8#5#5#5#7,0.0025320586282759905#0.1951962560415268#0.15918415784835815#0.15918415784835815#0.03133786469697952,0.005135421300207304#0.4786059145611442#0.5305580177173279#0.5305580177173279#0.23745654402418342,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,2#1#1#1#1,2.83#1.96#1.96#1.96#1.81,1#0#0#0#0,8#3#3#3#5,64.0#31.0#31.0#31.0#43.0,106.85778045654297#119.31893157958984#119.31893157958984#119.31893157958984#111.91390228271484,1#1#1#1#1,1#0#0#0#0,0#13#6#0#2,0#5#3#0#2,0#194#29#0#71,0#182#29#0#63,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
33,0,0,104.json,3,0.8439991474151611,0.871786492993717,0,0,0,1,1.89,0,1,15.0,132.25152587890625,1,0,0,0,0,0,0,0,0
789,0#0,0#539,21852.json,3#3,0.21142295002937317#0.21142295002937317,0.6911340570224815#0.6911340570224815,0#0,0#0,0#0,1#1,1.89#1.89,0#0,1#1,19.0#19.0,130.45266723632812#130.45266723632812,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
2721,0#0#203#0,0#938#995#1001,20823.json,3#3#3#3,0.476007878780365#0.476007878780365#0.476007878780365#0.476007878780365,0.8098159019224396#0.8098159019224396#0.8098159019224396#0.8098159019224396,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,1#1#1#1,17.0#17.0#17.0#17.0,131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0
33,0,0,21746.json,3,0.24310210347175598,0.7514299274620364,0,0,0,1,1.89,0,0,20.0,130.07347106933594,1,0,0,0,0,0,0,0,0
1585,0,0,9640.json,3,0.5555664300918579,0.7822362302226369,0,0,0,1,1.89,0,0,18.0,130.85629272460938,0,0,0,0,0,0,0,0,0
1173,0#105#25,0#13#1046,23917.json,3#3#3,0.20306620001792908#0.1799025982618332#0.18626780807971954,0.6284165446948321#0.6463410810931266#0.6262550835860857,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,2#2#2,22.0#22.0#22.0,129.57785034179688#129.57785034179688#129.57785034179688,1#1#1,0#0#0,0#2#2,0#1#1,0#11#8,0#11#8,0#0#0,0#0#0,0#0#0
1946,0#2#0#42#11#8#55#1#0,0#3#224#413#755#932#1119#1183#1598,761.json,15#13#11#11#11#11#10#13#13,0.001990507123991847#0.0022062009666115046#0.0014044790295884013#0.0010324266040697694#9.89108462817967E-4#0.0010767891071736813#0.007050581742078066#0.00954836793243885#0.00954836793243885,0.029970656971652077#0.03298876073997404#0.0093933306681017#0.009936723906828319#0.010097252561855492#0.010499016237592326#0.04197885909527583#0.03175904210905708#0.03175904210905708,1#1#1#1#1#1#1#2#2,3#2#2#2#2#2#2#3#3,4#3#3#3#3#3#3#5#5,4#3#3#3#3#3#3#4#4,15.38#16.36#11.28#12.54#12.54#12.54#3.83#3.54#3.54,2#2#2#2#2#2#2#2#2,3#3#3#3#3#3#3#3#3,83.0#77.0#77.0#77.0#77.0#77.0#67.0#76.0#76.0,94.91039276123047#97.84880828857422#100.55508422851562#100.55508422851562#100.55508422851562#100.60498046875#103.03601837158203#97.8432388305664#97.8432388305664,4#4#4#4#4#4#2#2#2,1#1#1#1#1#1#1#1#1,0#6#0#8#4#2#5#3#0,0#2#0#4#2#1#2#3#0,0#56#100#28#2#32#135#74#0,0#44#0#23#0#32#80#62#0,0#0#0#0#0#0#0#0#0,0#1#0#0#0#0#0#1#0,0#1#0#0#0#0#0#1#0
2901,0#114#88#10#44#14#45#0#34#44#84#47#80#142#71#63,0#51#52#794#1095#1095#1159#1285#1425#1718#1718#1718#1718#1718#2026#2767,20080.json,2#2#2#2#9#12#12#12#12#8#8#12#12#12#5#5,0.9488450884819031#0.9488450884819031#0.9488450884819031#0.9488450884819031#0.2205461859703064#0.18590916693210602#0.1394006907939911#0.1394006907939911#0.1393125355243683#0.23863893747329712#0.15512000024318695#0.09246845543384552#0.09246845543384552#0.06168542057275772#0.46037188172340393#0.0661834105849266,0.9824055382210023#0.9824055382210023#0.9824055382210023#0.9824055382210023#0.0161425156049933#0.035886037684643705#0.018668717912635528#0.018668717912635528#0.01885033436298873#0.35392228769190853#0.31919960403491#0.03256295212122385#0.03256295212122385#0.15448419909976865#0.4843238349261614#0.3004716399949882,0#0#0#0#2#2#2#2#2#1#1#3#3#2#0#0,0#0#0#0#2#2#2#2#2#1#1#2#2#2#0#0,0#0#0#0#4#4#4#4#4#2#2#5#5#4#0#0,1#1#1#1#3#3#3#3#3#2#2#3#3#3#1#1,1.89#1.89#1.89#1.89#2.27#3.4#3.4#3.4#3.4#2.83#2.83#2.75#2.75#3.34#1.96#1.96,0#0#0#0#1#2#2#2#2#1#1#1#1#2#0#0,0#0#0#0#8#8#9#9#9#5#5#8#8#5#3#3,9.0#9.0#9.0#9.0#62.0#65.0#68.0#68.0#68.0#42.0#43.0#66.0#66.0#62.0#33.0#35.0,142.4026641845703#142.4026641845703#142.4026641845703#142.4026641845703#104.9326400756836#99.97862243652344#99.69802856445312#99.69802856445312#99.69802856445312#109.49869537353516#109.3763427734375#99.85326385498047#99.85326385498047#100.37417602539062#118.74115753173828#118.3609390258789,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#3#3#3#3#3#2#2#2#2#3#2#2,0#0#0#0#8#11#2#0#4#12#2#5#0#17#10#2,0#0#0#0#7#7#1#0#2#4#1#5#0#9#1#1,0#0#0#0#326#113#29#0#4#233#7#188#0#284#284#19,0#0#0#0#319#101#29#0#4#209#7#171#0#250#229#18,0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#1,0#1#0#0#1#0#0#0#0#1#1#1#0#1#0#1,0#1#0#0#1#0#0#0#0#0#0#1#0#0#0#0
336,0#1545#520#427,0#0#108#169,2260.json,12#12#11#12,0.0#0.0#0.0#0.0,7.277251406206792E-6#7.288238445411456E-6#1.558375661843879E-5#2.1302041780096846E-6,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.49#1.49#1.54#1.49,0#0#0#0,8#8#7#8,103.0#103.0#97.0#108.0,97.65205383300781#97.65205383300781#99.40736389160156#97.34123992919922,2#2#2#2,2#2#2#2,0#2#1#1,0#1#0#1,0#5#50#72,0#5#46#68,0#1#0#0,0#1#0#0,0#1#0#0
888,0,0,39296.json,3,0.45973777770996094,0.9327778966685321,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
1243,0,0,34508.json,3,0.7176187634468079,0.8748553957939229,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
2085,0#6#13#16#11#9#32#86#12#43#35#133#48#74#13#40#13#95#225#65#18#1078,0#0#1#6#9#19#20#22#28#133#152#162#218#266#266#298#440#552#971#1380#1433#1799,32082.json,26#26#26#26#26#22#26#22#12#12#11#12#12#12#13#19#18#18#18#20#20#20,0.00625523691996932#0.006876703817397356#0.009756145067512989#0.007891702465713024#0.007913111709058285#0.021885450929403305#0.008467786945402622#0.023451169952750206#0.02117151953279972#0.010566215962171555#0.01675213687121868#0.0023793878499418497#0.012125290930271149#0.012946810573339462#0.016424553468823433#0.0020931451581418514#0.0016929326811805367#0.0016707791946828365#0.0029406424146145582#0.0019909976981580257#0.0025512275751680136#0.002536270534619689,7.295924373077981E-6#7.264181886854461E-6#1.694546949166928E-5#1.6366252444529015E-5#1.662101599299239E-5#5.737010500249899E-5#1.4915277319697903E-5#5.092383515766862E-5#0.007111335988646546#0.0021989786534055747#0.0040053326142691975#4.41466950347446E-4#0.001544481488764497#0.0016129900154961913#0.002300568712137181#4.203090318837759E-6#2.180220803868859E-6#2.9721147215110516E-6#4.115502450546486E-6#3.4325484099825645E-6#5.738846801265452E-6#5.616057338738815E-6,3#3#3#3#3#3#3#3#2#2#2#2#2#2#2#3#3#3#3#4#4#4,5#5#5#5#5#5#5#5#2#2#2#2#2#2#2#3#3#3#3#4#4#4,8#8#8#8#8#8#8#8#4#4#4#4#4#4#4#6#6#6#6#8#8#8,7#7#7#7#7#7#7#7#3#3#3#3#3#3#3#4#4#4#4#5#5#5,5.99#5.99#5.99#5.99#5.99#5.82#5.99#5.82#4.04#4.04#2.41#5.24#4.04#11.56#14.96#12.68#4.37#4.37#3.33#4.2#4.2#4.2,3#3#3#3#3#3#3#3#1#1#1#1#1#1#1#1#1#1#1#2#2#2,8#8#8#8#8#6#8#6#4#4#4#4#5#6#7#11#11#11#11#11#11#11,131.0#131.0#128.0#128.0#128.0#112.0#128.0#112.0#70.0#74.0#70.0#82.0#76.0#77.0#79.0#121.0#121.0#120.0#120.0#126.0#124.0#124.0,82.11035919189453#82.11035919189453#82.27802276611328#82.27802276611328#82.27802276611328#85.67865753173828#82.27802276611328#85.67865753173828#99.37986755371094#99.01564025878906#100.7894515991211#98.41133117675781#98.87696838378906#98.80899047851562#97.37895965576172#88.49757385253906#89.37345886230469#89.44497680664062#89.44497680664062#87.25442504882812#87.36675262451172#87.36675262451172,3#3#3#3#3#3#3#3#3#3#3#5#5#5#5#5#5#5#5#5#5#5,2#2#2#2#2#2#2#2#1#1#1#1#1#1#1#4#4#4#4#4#4#4,0#2#6#6#2#4#2#22#14#4#3#7#4#6#3#12#2#2#1#10#2#2,0#1#3#3#1#0#1#22#2#2#1#4#2#3#2#9#1#1#1#6#1#1,0#7#28#15#7#160#185#160#442#77#63#126#78#71#62#353#84#6#70#67#12#12,0#7#28#15#7#144#169#144#387#43#43#101#73#2#13#329#11#6#0#55#12#12,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1,0#0#0#1#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#1,0#0#0#1#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#1
103,0#53,0#6,14843.json,7#7,0.8045671582221985#0.795952320098877,0.4883857318069078#0.48716391205140963,0#0,0#0,0#0,2#2,2.56#2.56,1#1,2#2,40.0#40.0,111.78627014160156#111.78627014160156,1#1,2#2,0#2,0#1,0#13,0#13,0#0,0#0,0#0
1950,0#110#364#75#154#34#51#210#0#5#65#139#0#0#1078,0#34#39#46#80#150#210#227#228#278#766#1558#1602#1603#1664,7760.json,5#5#7#7#7#13#15#4#4#6#6#6#8#8#8,1.884735975181684E-4#1.6307098849210888E-4#0.015758493915200233#0.015758493915200233#0.01367412880063057#0.0021457807160913944#0.0018752289470285177#0.012919468805193901#0.012919468805193901#0.007251810282468796#0.004390351939946413#0.0053531816229224205#0.012992756441235542#0.012992756441235542#0.012751386500895023,0.004628680844207437#0.004722736639118344#0.004072509777903801#0.004069030329910865#0.0039418421880306476#5.1330511273555324E-5#4.680588106077974E-6#0.13680994550915143#0.13680994550915143#0.021084625231488772#0.011405737824953943#0.0074192109798795385#0.026557765903838956#0.026557765903838956#0.026418177883473167,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,1.96#1.96#3.7#3.7#3.7#3.69#3.48#2.0#2.0#1.89#1.89#1.89#12.38#12.38#12.38,0#0#0#0#0#1#1#0#0#0#0#0#0#0#0,2#2#4#4#4#5#7#2#2#4#4#4#4#4#4,58.0#58.0#64.0#64.0#64.0#97.0#113.0#38.0#38.0#50.0#53.0#55.0#55.0#55.0#55.0,115.2137222290039#115.2137222290039#109.03759002685547#109.03759002685547#109.03759002685547#96.51327514648438#93.24134063720703#121.34877014160156#121.34877014160156#113.1817398071289#112.82664489746094#112.58414459228516#107.92369079589844#107.92369079589844#107.92369079589844,3#3#3#3#3#3#3#3#3#3#3#3#3#3#3,2#2#3#3#3#4#6#1#1#1#1#1#1#1#1,0#2#7#4#2#8#7#15#0#2#2#2#0#0#2,0#1#5#2#1#7#5#1#0#2#1#1#0#0#1,0#15#130#12#16#321#167#659#0#126#11#18#70#0#6,0#15#113#12#16#298#158#602#0#118#11#18#0#0#6,0#0#0#0#0#0#0#0#0#0#0#0#0#0#1,0#0#0#0#0#0#0#1#0#1#0#1#0#0#1,0#0#0#0#0#0#0#1#0#1#0#1#0#0#1
1904,0,0,4953.json,3,0.6866081357002258,0.9040247244313725,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
511,0,0,31542.json,3,0.7482424378395081,0.9174218388644093,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
2800,0#20#46#140#44#119#63#27#113#3#5#6#17#284#91#121#201#61#87,0#51#63#73#78#80#80#86#123#232#484#485#512#664#1035#1071#1073#1241#1667,13448.json,3#14#15#15#14#14#14#4#4#4#8#6#6#6#6#6#5#4#5,0.9472073316574097#0.04886036738753319#0.04652944579720497#0.05843279883265495#0.062323179095983505#0.06072356551885605#0.04457753524184227#0.14304879307746887#0.1327391266822815#0.1310950368642807#0.17114533483982086#0.19520702958106995#0.17757685482501984#0.17757685482501984#0.16630838811397552#0.10735835134983063#0.16123928129673004#0.07029609382152557#0.18784642219543457,0.9113664120074711#1.5887536402738466E-5#1.2380893027876221E-5#2.1753793070294857E-5#2.7843153547942767E-5#2.897203168827949E-5#1.467668681997411E-5#0.28498254516511795#0.30196531052200387#0.2965389835655384#0.1409230872668265#0.13294254927809476#0.13646676559290608#0.13646676559290608#0.19068723425798526#0.1298306522265152#0.17307758155425415#0.30493216466955314#0.13855898653547255,0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#2#0#0#0#0#0#0#0#0,1#2#2#2#2#2#2#1#1#1#2#1#1#1#1#1#1#1#1,1.89#3.89#3.77#3.77#3.89#3.89#3.89#2.0#2.0#2.0#2.4#1.89#1.89#1.89#1.89#1.89#1.96#2.0#1.96,0#1#1#1#1#1#1#0#0#0#1#0#0#0#0#0#0#0#0,0#10#11#10#9#9#10#1#1#1#2#2#2#2#2#3#2#2#3,15.0#103.0#106.0#103.0#100.0#100.0#103.0#34.0#34.0#34.0#49.0#44.0#44.0#44.0#42.0#43.0#39.0#33.0#40.0,131.9385528564453#94.77063751220703#93.47529602050781#93.62459564208984#94.9243392944336#94.9243392944336#94.74227905273438#122.20084381103516#122.20084381103516#122.20084381103516#108.63074493408203#114.14724731445312#114.14724731445312#114.14724731445312#114.45925903320312#114.13744354248047#117.66175079345703#122.28182983398438#117.46711730957031,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,0#5#5#5#5#5#5#1#1#1#2#2#2#2#2#2#2#1#2,0#13#1#2#1#2#2#14#2#2#6#4#2#0#4#4#1#5#7,0#12#1#1#0#1#1#2#1#1#5#1#1#0#2#2#0#2#4,0#595#28#6#28#4#22#514#7#4#135#42#5#0#12#33#34#54#60,0#534#24#6#24#4#22#457#7#4#119#34#5#0#12#33#30#50#56,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#1#1#0#0#0#0#0#0#1#1#0#0#0#0#0#0,0#0#0#1#1#0#0#0#0#0#0#1#1#0#0#0#0#0#0
2154,0#2#48#61#4#9#14#1#1#45,0#20#385#603#880#1138#1664#1666#1730#1926,7289.json,11#11#11#11#12#12#17#17#24#24,0.061002217233181#0.07996729761362076#0.07932424545288086#0.07833384722471237#0.020662253722548485#0.03009229712188244#0.004377827513962984#0.004377827513962984#0.0#0.0,0.0036370925665429633#0.003471649467162453#0.002592107139718091#0.0026262743289211113#4.967018949307588E-4#9.442889839026425E-4#3.384256731882116E-8#3.384256731882116E-8#1.6454879206951E-10#1.6542104482361153E-10,1#1#1#1#1#1#1#1#2#2,1#1#1#1#1#1#1#1#3#3,2#2#2#2#2#2#2#2#5#5,2#2#2#2#2#2#2#2#4#4,3.85#3.85#3.85#3.85#3.7#3.7#2.56#2.56#3.68#3.68,1#1#1#1#1#1#1#1#1#1,6#6#6#6#7#6#12#12#16#16,73.0#73.0#74.0#74.0#83.0#80.0#137.0#137.0#184.0#184.0,100.76297760009766#100.76297760009766#100.65522766113281#100.65522766113281#98.4803466796875#98.7034683227539#89.88777923583984#89.88777923583984#82.08545684814453#82.08545684814453,0#0#0#0#0#0#0#0#0#0,3#3#3#3#3#3#9#9#11#11,0#2#2#2#3#2#9#2#15#2,0#1#1#1#2#1#7#1#14#1,0#16#37#5#93#19#494#44#810#7,0#16#37#5#89#19#454#44#419#7,0#0#0#0#0#0#0#0#0#0,0#0#0#1#1#0#1#0#1#0,0#0#0#1#1#0#1#0#1#0
2499,0#23#88,0#546#1648,9801.json,3#3#3,0.3568434417247772#0.3568434417247772#0.278155654668808,0.7717641218901552#0.7717641218901552#0.7708136705879165,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,19.0#19.0#19.0,130.236328125#130.236328125#130.236328125,0#0#0,0#0#0,0#0#2,0#0#1,0#0#10,0#0#10,0#0#0,0#0#1,0#0#1
308,0,0,36022.json,3,0.7241190671920776,0.8616052982028164,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
999,0#57#496#19,0#455#493#748,27723.json,15#15#15#15,0.007448168937116861#0.007448168937116861#0.011476091109216213#0.011476091109216213,9.352073848778744E-6#9.352073848778744E-6#2.7625777258879506E-5#2.7625777258879506E-5,2#2#2#2,2#2#2#2,4#4#4#4,4#4#4#4,3.83#3.83#3.83#3.83,3#3#3#3,15#15#14#14,110.0#110.0#109.0#109.0,92.9408950805664#92.9408950805664#93.02007293701172#93.02007293701172,1#1#2#2,6#6#6#6,0#0#6#0,0#0#4#0,0#0#262#0,0#0#253#0,0#0#0#0,0#0#0#0,0#0#0#0
2253,0,0,39257.json,4,0.5001185536384583,0.7763476588216652,0,0,0,1,2.0,0,2,21.0,125.27178192138672,1,0,0,0,0,0,0,0,0
1111,0#8#0,0#361#763,6599.json,3#3#3,0.9195706844329834#0.9195706844329834#0.9195706844329834,0.7451915543193021#0.7451915543193021#0.7451915543193021,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,15.0#15.0#15.0,132.086669921875#132.086669921875#132.086669921875,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
502,0#837#997#1367#131,0#0#0#0#211,35437.json,3#3#3#3#3,0.9408955574035645#0.9328058362007141#0.9408955574035645#0.9174214005470276#0.9174214005470276,0.965106288670043#0.9811954738037847#0.965106288670043#0.9511801000595486#0.9511801000595486,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,1.89#1.89#1.89#1.89#1.89,0#0#0#0#0,0#0#0#0#0,12.0#11.0#12.0#12.0#12.0,133.59722900390625#134.26058959960938#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0#0,0#0#0#0#0,0#2#2#2#0,0#1#1#1#0,0#7#7#6#0,0#7#7#6#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
2677,0#9#56#42#19#14#14#27#86#25#284#19#39#35#26#20#87#36#8,0#4#9#18#25#87#115#130#171#478#541#705#772#1054#1189#1286#1544#1668#2013,10470.json,5#5#4#8#8#8#7#8#8#10#10#11#11#11#12#10#10#11#3,0.7177274227142334#0.642109751701355#0.6667338609695435#0.2352912724018097#0.3556895852088928#0.4653342068195343#0.4168202877044678#0.4200821816921234#0.27146539092063904#0.17887571454048157#0.17887571454048157#0.20248658955097198#0.33449193835258484#0.3843200206756592#0.2878141403198242#0.5333184003829956#0.29267263412475586#0.31506454944610596#0.5881364345550537,0.15681978431454133#0.2654026782225625#0.28897631444757155#0.05076149449472177#0.0759581971532731#0.08536795883336444#0.15300016865294724#0.13246457088871627#0.08072956861309875#0.010462850014120256#0.010462850014120256#0.005738352564254633#0.013255036339550462#0.018073447726633416#0.008820421274008452#0.06592890136148245#0.0481899694127128#0.018054715141291266#0.8868818100041344,0#0#0#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#0,0#0#0#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#0,0#0#0#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#0,1#1#1#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#1,1.96#1.96#2.0#2.4#2.4#2.4#2.56#2.4#2.4#2.15#2.15#2.06#2.06#2.06#1.97#2.15#2.15#2.06#1.89,0#0#0#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#0,4#4#5#8#8#7#7#8#8#8#8#8#8#8#9#7#7#8#1,39.0#37.0#34.0#56.0#54.0#52.0#46.0#49.0#51.0#65.0#65.0#70.0#68.0#66.0#73.0#59.0#61.0#68.0#18.0,117.66175079345703#118.07197570800781#122.20084381103516#107.93638610839844#108.19186401367188#108.32174682617188#111.25896453857422#108.69711303710938#108.3597412109375#103.1622314453125#103.1622314453125#101.14266967773438#101.33761596679688#101.49285125732422#99.43125915527344#103.71370697021484#103.54035186767578#101.33761596679688#131.1385955810547,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,2#2#1#2#2#2#1#1#1#3#3#4#4#4#4#2#2#3#0,0#2#5#10#4#6#3#1#2#4#0#9#5#2#2#2#2#5#12,0#1#2#7#2#3#1#1#1#3#0#5#3#1#2#0#1#3#1,0#28#78#203#12#34#39#33#19#149#0#283#13#23#49#121#5#83#421,0#28#74#187#12#34#35#29#19#141#0#270#12#23#44#113#5#79#387,0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#1#1#0#0#0#0#1#1#0#0#1#0#0#0#0#0#0#0,0#1#1#0#0#0#0#1#1#0#0#1#0#0#0#0#0#0#0
1733,0,0,37266.json,3,0.9440113306045532,0.9667014658589871,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
900,0,0,16880.json,3,0.7291566729545593,0.8689690869528491,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
1755,0#243,0#1496,17071.json,3#3,0.6091069579124451#0.7149255871772766,0.8276981809426951#0.7839990324590007,0#0,0#0,0#0,1#1,1.89#1.89,0#0,1#1,18.0#19.0,130.99049377441406#130.57513427734375,1#1,0#0,0#2,0#1,0#9,0#9,0#0,0#1,0#1
2691,0#181#11#41#90#65#2#9#29#0,0#572#615#741#751#753#858#888#889#908,20426.json,3#3#3#6#3#6#6#6#6#6,0.940879762172699#0.940879762172699#0.940879762172699#0.46538686752319336#0.940879762172699#0.46538686752319336#0.46538686752319336#0.46538686752319336#0.47324711084365845#0.47324711084365845,0.9730821289410828#0.9730821289410828#0.9730821289410828#0.5595655105138956#0.9730821289410828#0.5595655105138956#0.5595655105138956#0.5595655105138956#0.5451074854279964#0.5451074854279964,0#0#0#1#0#1#1#1#1#1,0#0#0#1#0#1#1#1#1#1,0#0#0#2#0#2#2#2#2#2,1#1#1#2#1#2#2#2#2#2,1.89#1.89#1.89#2.75#1.89#2.75#2.75#2.75#2.75#2.75,0#0#0#1#0#1#1#1#1#1,0#0#0#2#0#2#2#2#2#2,12.0#12.0#12.0#30.0#12.0#30.0#30.0#30.0#30.0#30.0,133.59722900390625#133.59722900390625#133.59722900390625#116.13201141357422#133.59722900390625#116.13201141357422#116.13201141357422#116.13201141357422#116.13201141357422#116.13201141357422,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0,0#0#0#5#5#5#0#0#2#0,0#0#0#4#1#4#0#0#1#0,0#0#0#134#134#134#0#0#5#0,0#0#0#122#122#122#0#0#5#0,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0
502,0#414#837#1367,0#0#0#0,35771.json,3#3#3#3,0.9735979437828064#0.9735979437828064#0.9726073741912842#0.9731257557868958,0.5962896334437232#0.5962896334437232#0.5909733194466168#0.540825069026258,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,0#0#0#0,26.0#26.0#26.0#26.0,128.8216552734375#128.8216552734375#128.8216552734375#128.8216552734375,0#0#0#0,0#0#0#0,0#0#2#2,0#0#1#1,0#0#8#40,0#0#8#40,0#0#0#0,0#0#0#0,0#0#0#0
1949,0#205#110#364#0,0#25#33#38#39,3678.json,3#3#3#3#3,0.5855357646942139#0.852578341960907#0.852578341960907#0.9045453667640686#0.9045453667640686,0.7772957539099917#0.9497016174336921#0.9497016174336921#0.9301902045211365#0.9301902045211365,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,1.89#1.89#1.89#1.89#1.89,0#0#0#0#0,0#0#0#0#0,21.0#12.0#12.0#13.0#13.0,129.7158966064453#133.59722900390625#133.59722900390625#132.9956512451172#132.9956512451172,2#0#0#0#0,0#0#0#0#0,0#3#0#2#0,0#1#0#1#0,0#82#0#8#0,0#81#0#8#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
690,0#50,0#3,17141.json,7#7,0.3600272834300995#0.38110220432281494,0.3941226735064437#0.39774378800734217,1#1,1#1,2#2,2#2,3.33#3.33,1#1,2#2,37.0#37.0,112.39112091064453#112.39112091064453,1#1,1#1,0#4,0#2,0#21,0#21,0#0,0#0,0#0
1062,0,0,22852.json,7,0.1268766075372696,0.26086928143995847,0,0,0,1,1.81,0,5,43.0,111.91390228271484,4,0,0,0,0,0,0,0,0
