Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
3236,0#184#27#376#394#1446#7#0,0#163#2033#2402#2408#2424#2502#3170,15948.json,10#10#8#8#8#8#8#8,0.30268847942352295#0.20201078057289124#0.6515567302703857#0.588985800743103#0.5954053401947021#0.5954053401947021#0.6133081316947937#0.6133081316947937,0.04940492854480945#0.05233627503314553#0.0929089726643355#0.09372768830678024#0.09835243189501665#0.09835243189501665#0.23857975447337995#0.23857975447337995,2#2#2#2#2#2#2#2,2#2#2#2#2#2#2#2,4#4#4#4#4#4#4#4,3#3#3#3#3#3#3#3,5.06#5.06#5.66#5.66#5.66#5.66#5.66#5.66,1#1#0#0#0#0#0#0,2#2#2#2#2#2#2#2,58.0#58.0#54.0#54.0#54.0#54.0#48.0#48.0,104.04545593261719#104.11970520019531#108.10621643066406#108.10621643066406#108.10621643066406#108.10621643066406#108.79754638671875#108.79754638671875,2#2#2#2#2#2#2#2,0#0#0#0#0#0#0#0,0#4#8#4#4#0#4#0,0#2#4#2#2#0#2#0,0#34#10#18#6#0#22#0,0#34#16#18#6#0#22#0,0#0#0#0#0#0#0#0,0#0#0#0#0#0#1#0,0#0#0#0#0#0#1#0
3391,0#0,0#3326,5267.json,3#3,0.5302555561065674#0.5302555561065674,0.5993180359669967#0.5993180359669967,0#0,0#0,0#0,1#1,3.77#3.77,0#0,1#1,20.0#20.0,129.9696044921875#129.9696044921875,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
3412,0#0,0#3347,9555.json,179#178,0.0#0.0,7.258909393266857E-211#4.861269848338432E-211,9#9,24#24,33#33,25#25,6.0#5.89,4#4,45#45,2618.0#2618.0,30.431062698364258#30.521818161010742,1#1,24#24,0#0,0#0,0#6,0#0,0#0,0#0,0#0
5139,0#9#0#83,0#3968#5073#5091,17863.json,179#179#179#180,0.0#0.0#0.0#0.0,2.83772940284957E-90#1.6023232908271097E-90#1.6023232908271097E-90#3.3122427763971714E-94,19#19#19#19,34#34#34#34,53#53#53#53,30#30#30#30,8.27#8.27#8.27#8.28,3#3#3#3,139#140#140#141,1249.0#1250.0#1250.0#1286.0,32.4940299987793#32.484466552734375#32.484466552734375#32.241207122802734,3#3#3#3,36#36#36#36,0#2#0#28,0#1#0#15,0#26#0#280,0#26#0#225,0#0#0#0,0#0#0#0,0#0#0#0
2662,0#1465#275#0,0#1687#1869#2597,10329.json,14#14#14#14,0.0#0.0#0.0#0.0,2.100976991136796E-6#4.1199121767802955E-6#2.995778595703379E-6#2.995778595703379E-6,1#1#1#1,1#1#1#1,2#2#2#2,2#2#2#2,4.75#4.75#4.75#4.75,1#1#1#1,7#7#8#8,120.0#117.0#117.0#117.0,94.39048767089844#94.56471252441406#94.4811019897461#94.4811019897461,2#2#2#2,1#1#1#1,0#2#2#0,0#1#1#0,0#8#9#0,0#8#9#0,0#0#0#0,0#0#0#0,0#0#0#0
1788,0#0,0#1722,8038.json,15#15,0.25145766139030457#0.25145766139030457,0.09922286471702425#0.09922286471702425,0#0,5#5,5#5,6#6,5.23#5.23,2#2,0#0,62.0#62.0,96.1807861328125#96.1807861328125,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
5293,0#216#3147#243#0,0#51#1121#4371#5228,2780.json,4#4#5#5#5,0.6092965006828308#0.2000802457332611#0.0125814164057374#0.0015121446922421455#0.0015121446922421455,0.292767078417401#0.2097761890283702#0.02869639187278153#0.0125298633823388#0.0125298633823388,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,4.0#4.0#3.92#3.92#3.92,0#0#0#0#0,2#2#4#4#4,28.0#30.0#45.0#49.0#49.0,123.21045684814453#122.7774429321289#116.7376937866211#116.18830871582031#116.18830871582031,1#1#1#1#1,1#1#1#1#1,0#2#3#2#0,0#1#2#1#0,0#4#70#19#0,0#4#72#19#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
4172,0#1239#4#1446#0,0#482#2879#3361#4107,4057.json,11#11#11#11#11,0.0#0.0#0.0#0.0#0.0,1.9852460701848515E-6#1.4261410719171315E-6#2.163234109397289E-6#2.163234109397289E-6#2.163234109397289E-6,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,3.09#3.09#3.09#3.09#3.09,0#0#0#0#0,9#9#9#9#9,116.0#118.0#116.0#116.0#116.0,98.74617767333984#98.65728759765625#98.7903823852539#98.7903823852539#98.7903823852539,1#1#0#0#0,0#0#0#0#0,0#4#4#0#0,0#2#2#0#0,0#8#31#0#0,0#8#31#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
2215,0#0,0#2149,7077.json,3#3,0.8099473118782043#0.8099473118782043,0.8831102185899966#0.8831102185899966,0#0,0#0,0#0,1#1,3.77#3.77,0#0,1#1,13.0#13.0,133.18099975585938#133.18099975585938,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
3690,0#146#0,0#2794#3624,6918.json,9#7#7,0.35924896597862244#0.83797287940979#0.83797287940979,0.28945383765040705#0.36377003896803795#0.36377003896803795,3#3#3,2#2#2,5#5#5,3#3#3,5.33#6.05#6.05,1#0#0,2#2#2,42.0#40.0#40.0,107.50496673583984#111.82997131347656#111.82997131347656,2#2#2,0#0#0,0#8#0,0#4#0,0#10#0,0#16#0,0#0#0,0#0#0,0#0#0
5293,0#825#3147#239#1446#0#31,0#265#1121#3470#4482#5228#5249,3764.json,2#2#2#2#2#2#2,0.9557545781135559#0.9280981421470642#0.9968335032463074#0.9255905747413635#0.16451120376586914#0.16451120376586914#0.9302852749824524,0.9291520732452543#0.8894049909256325#0.9509936345003618#0.9025553485953836#0.6318166501498749#0.6318166501498749#0.8987952664833553,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,0.0#0.0#0.0#0.0#0.0#0.0#0.0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,9.0#11.0#9.0#10.0#16.0#16.0#11.0,142.4026641845703#140.82913208007812#142.4026641845703#141.56829833984375#138.03729248046875#138.03729248046875#140.82913208007812,0#1#0#0#1#1#1,0#0#0#0#0#0#0,0#2#3#3#2#0#2,0#1#2#1#1#0#1,0#18#23#9#48#0#25,0#18#20#6#45#0#25,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0
2976,0#0,0#2910,16508.json,3#3,0.9087234735488892#0.9087234735488892,0.8835534498022712#0.8835534498022712,0#0,0#0,0#0,1#1,3.77#3.77,0#0,0#0,13.0#13.0,132.9956512451172#132.9956512451172,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
4172,0#0,0#4107,14849.json,11#11,0.2776106297969818#0.2776106297969818,0.015147989417412766#0.015147989417412766,2#2,1#1,3#3,2#2,4.11#4.11,1#1,6#6,66.0#66.0,101.74312591552734#101.74312591552734,0#0,3#3,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1606,0#110#0,0#22#1541,16240.json,12#12#12,0.22587037086486816#0.04581288993358612#0.04581288993358612,0.0028333160852089877#0.0013263900386543887#0.0013263900386543887,3#3#3,3#3#3,6#6#6,3#3#3,5.12#5.12#5.12,2#2#2,5#5#5,78.0#78.0#78.0,98.98458099365234#98.98458099365234#98.98458099365234,3#3#3,1#1#1,0#16#0,0#7#0,0#51#0,0#49#0,0#0#0,0#0#0,0#0#0
2595,0#306#246#103#0,0#683#872#1097#2529,13324.json,5#5#7#8#8,0.004677565302699804#0.004677565302699804#0.007503430359065533#0.0013767037307843566#0.0013767037307843566,0.006619328799266131#0.006619328799266131#0.004687400245439423#6.344302439308926E-4#6.344302439308926E-4,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,3.92#3.92#3.61#6.93#6.93,0#0#0#0#0,3#3#3#6#6,57.0#57.0#64.0#75.0#75.0,115.62542724609375#115.62542724609375#109.51236724853516#106.3108901977539#106.3108901977539,2#2#2#2#2,1#1#2#2#2,0#0#6#3#0,0#0#4#2#0,0#0#91#70#0,0#0#95#66#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
1911,0#359#486#1465#208#60#1446#0,0#450#723#936#938#1080#1100#1846,3340.json,7#7#6#6#6#6#6#6,0.06091270223259926#0.060481950640678406#0.2117028832435608#0.21184806525707245#0.3089328706264496#0.3089328706264496#0.3089328706264496#0.3089328706264496,0.025216513138470325#0.037780796488940685#0.04532174049797955#0.04324081975665481#0.06244385875945863#0.06244385875945863#0.06244385875945863#0.06244385875945863,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,2#2#2#2#2#2#2#2,5.11#5.11#5.5#5.5#5.5#5.5#5.5#5.5,1#1#0#0#0#0#0#0,2#2#2#2#2#2#2#2,50.0#47.0#46.0#46.0#44.0#44.0#44.0#44.0,110.45449829101562#110.72415924072266#113.3332290649414#113.3332290649414#113.61647033691406#113.61647033691406#113.61647033691406#113.61647033691406,0#0#0#0#0#0#0#0,2#2#2#2#2#2#2#2,0#2#4#4#2#0#0#0,0#1#2#2#1#0#0#0,0#7#5#2#8#0#0#0,0#7#16#2#8#0#0#0,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0
3690,0#53#61#132#73#18#0,0#120#408#454#764#3489#3624,6321.json,3#3#3#3#3#3#3,0.6382924914360046#0.6645272970199585#0.35493016242980957#0.0940658375620842#0.02460574544966221#0.005854323506355286#0.005854323506355286,0.6390142985935828#0.6486030033952732#0.5197513624894294#0.3824934144074116#0.24932036757880274#0.17013426016540728#0.17013426016540728,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,3.77#3.77#3.77#3.77#3.77#3.77#3.77,0#0#0#0#0#0#0,0#0#0#0#0#0#0,20.0#20.0#23.0#26.0#29.0#32.0#32.0,130.07347106933594#130.07347106933594#129.14646911621094#128.3351287841797#127.61418151855469#126.9658203125#126.9658203125,2#2#3#4#5#6#6,0#0#0#0#0#0#0,0#2#2#2#2#2#0,0#1#1#1#1#1#0,0#6#15#15#23#23#0,0#6#15#15#23#23#0,0#0#0#0#0#0#0,0#0#0#0#0#1#0,0#0#0#0#0#1#0
5293,0#825#3147#300#956#169#1446#0,0#265#1121#2003#3410#3449#4482#5228,3998.json,3#3#3#3#3#3#3#3,0.7496980428695679#0.9089722037315369#0.9089722037315369#0.28867390751838684#0.30000001192092896#0.40463435649871826#0.9424481987953186#0.9424481987953186,0.8467472292783136#0.923719741723913#0.923719741723913#0.7716376881971247#0.7797431890963421#0.7567516194055891#0.9165179877717446#0.9165179877717446,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1,3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77,0#0#0#0#0#0#0#0,1#0#0#2#2#2#0#0,16.0#12.0#12.0#19.0#19.0#19.0#13.0#13.0,131.60296630859375#133.59722900390625#133.59722900390625#130.70933532714844#130.70933532714844#130.57513427734375#132.9956512451172#132.9956512451172,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,0#4#0#2#2#2#4#0,0#2#0#1#1#1#2#0,0#34#0#19#3#5#37#0,0#34#0#19#3#5#37#0,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0
3355,0#269#881#799#1446#0,0#483#958#1731#2544#3290,18457.json,30#30#30#30#30#30,0.003599725663661957#0.003464378649368882#0.00227357423864305#0.005314968526363373#0.011051744222640991#0.011051744222640991,2.3747097263995006E-11#5.0879159828459964E-12#8.745252730040186E-11#3.8575132193195975E-10#1.0797214732956205E-9#1.0797214732956205E-9,12#12#12#12#8#8,9#9#9#9#10#10,21#21#21#21#18#18,8#8#8#8#9#9,4.81#4.81#4.81#4.81#4.81#4.81,3#3#3#3#3#3,19#17#11#10#5#5,199.0#206.0#190.0#184.0#178.0#178.0,77.45958709716797#77.25538635253906#77.6519546508789#77.86710357666016#77.78507232666016#77.78507232666016,3#3#3#3#3#3,3#3#3#3#3#3,0#4#20#2#10#0,0#2#10#1#5#0,0#61#91#25#36#0,0#67#91#25#36#0,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0
4172,0#1239#239#745#32#1446#0,0#482#2349#2538#2919#3361#4107,4645.json,3#6#6#6#5#5#5,0.5640506744384766#0.07530045509338379#0.07530045509338379#0.06928097456693649#0.2826404571533203#0.2826404571533203#0.2826404571533203,0.6452974846186583#0.1872454551986245#0.1872454551986245#0.17646226192425568#0.2047288763732883#0.2047288763732883#0.2047288763732883,0#1#1#1#1#1#1,0#1#1#1#1#1#1,0#2#2#2#2#2#2,1#2#2#2#2#2#2,3.77#5.5#5.5#5.5#5.99#5.99#5.99,0#1#1#1#0#0#0,1#4#4#4#4#4#4,19.0#37.0#37.0#37.0#36.0#36.0#36.0,130.34019470214844#114.88836669921875#114.88836669921875#114.88836669921875#117.98445129394531#117.98445129394531#117.98445129394531,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#3#0#2#4#0#0,0#3#0#1#2#0#0,0#86#0#11#5#0#0,0#95#0#11#8#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0
2215,0#384#359#0,0#382#754#2149,7157.json,7#7#7#7,0.010434353724122047#0.010460919700562954#0.010960006155073643#0.010960006155073643,0.002142099094365484#0.002152989373826696#0.0031734351653190064#0.0031734351653190064,0#0#0#0,0#0#0#0,0#0#0#0,2#2#2#2,5.11#5.11#5.11#5.11,1#1#1#1,2#2#2#2,64.0#64.0#61.0#61.0,109.02098846435547#109.02098846435547#109.22467041015625#109.22467041015625,2#2#2#2,2#2#2#2,0#2#2#0,0#1#1#0,0#8#5#0,0#8#5#0,0#0#0#0,0#0#0#0,0#0#0#0
827,0#1446#0,0#16#762,15824.json,4#4#4,0.7846205830574036#0.7846205830574036#0.7846205830574036,0.8030859640219812#0.8030859640219812#0.8030859640219812,0#0#0,0#0#0,0#0#0,1#1#1,4.0#4.0#4.0,0#0#0,1#1#1,16.0#16.0#16.0,127.09062194824219#127.09062194824219#127.09062194824219,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
2998,0#306#956#0,0#1087#1115#2933,12758.json,3#3#3#3,0.5710806250572205#0.5710806250572205#0.5710806250572205#0.5710806250572205,0.3645403438858064#0.3645403438858064#0.3645403438858064#0.3645403438858064,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,3.77#3.77#3.77#3.77,0#0#0#0,2#2#2#2,24.0#24.0#24.0#24.0,128.92515563964844#128.92515563964844#128.92515563964844#128.92515563964844,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0
5293,0#135#3147#1239#246#94#160#388#1446#0,0#69#1121#1603#1698#2295#2671#3428#4482#5228,4895.json,10#10#17#22#21#5#5#5#5#5,0.0#0.0#0.0#0.0#0.0#5.379091016948223E-4#2.3064510605763644E-4#2.920215774793178E-4#2.920215774793178E-4#2.920215774793178E-4,2.1595260651684216E-5#1.2782408048464322E-4#9.182744210312816E-7#7.0943329708914414E-9#1.417620108402456E-6#0.18748981339895965#0.12047459494054068#0.11112771320511279#0.11112771320511279#0.11112771320511279,2#2#3#4#4#0#0#0#0#0,4#4#4#5#5#0#0#0#0#0,6#6#7#9#9#0#0#0#0#0,3#3#5#6#6#1#1#1#1#1,5.6#5.6#10.94#11.13#10.18#9.33#9.33#9.33#9.33#9.33,1#1#2#2#2#0#0#0#0#0,6#6#9#12#12#1#1#1#1#1,95.0#86.0#131.0#164.0#136.0#37.0#40.0#39.0#39.0#39.0,100.70722961425781#101.30265045166016#90.01844787597656#84.1688232421875#86.02469635009766#118.2250747680664#117.7408218383789#117.72811889648438#117.72811889648438#117.72811889648438,4#3#5#8#7#4#5#4#4#4,0#0#0#0#0#0#0#0#0#0,0#8#23#14#31#23#6#8#0#0,0#4#15#10#15#3#3#4#0#0,0#57#358#343#155#754#50#74#0#0,0#57#386#341#105#805#41#74#0#0,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0
3355,0#881#0,0#958#3290,18754.json,8#8#8,0.06292851269245148#0.05312466621398926#0.05312466621398926,0.03159353683043697#0.029805992889515926#0.029805992889515926,0#0#0,0#0#0,0#0#0,1#1#1,1.32#1.32#1.32,1#1#1,5#5#5,52.0#52.0#52.0,108.68822479248047#108.68822479248047#108.68822479248047,2#2#2,0#0#0,0#2#0,0#1#0,0#9#0,0#9#0,0#0#0,0#0#0,0#0#0
5139,0#3147#239#1465#62#0,0#966#3316#4164#4382#5073,14634.json,16#16#16#16#22#22,0.034881673753261566#0.052596986293792725#0.052468087524175644#0.05522969365119934#0.0034290021285414696#0.0034290021285414696,1.4021141868444602E-7#1.61220330400254E-7#1.618270309836585E-7#1.9401381307019774E-7#3.947777454653083E-12#3.947777454653083E-12,1#1#1#1#3#3,2#2#2#2#4#4,3#3#3#3#7#7,3#3#3#3#5#5,4.0#4.0#4.0#4.0#4.84#4.84,1#1#1#1#1#1,14#12#12#12#20#20,137.0#136.0#136.0#135.0#213.0#213.0,90.86576080322266#90.90385437011719#90.90385437011719#90.94223022460938#82.84556579589844#82.84556579589844,3#3#3#3#3#3,6#6#6#6#8#8,0#8#2#2#33#0,0#4#1#1#22#0,0#70#6#8#542#0,0#70#6#8#584#0,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0
4172,0#1239#0,0#482#4107,6884.json,3#3#3,0.13392458856105804#0.5658406615257263#0.5658406615257263,0.8180478352978089#0.823959178646022#0.823959178646022,0#0#0,0#0#0,0#0#0,1#1#1,3.77#3.77#3.77,0#0#0,1#1#1,15.0#15.0#15.0,132.25152587890625#132.25152587890625#132.25152587890625,0#0#0,0#0#0,0#2#0,0#1#0,0#9#0,0#9#0,0#0#0,0#0#0,0#0#0
2238,0#0,0#2172,1565.json,3#3,0.6277834177017212#0.6277834177017212,0.8146455611320691#0.8146455611320691,0#0,0#0,0#0,1#1,3.77#3.77,0#0,1#1,15.0#15.0,132.25152587890625#132.25152587890625,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1284,0#0,0#1218,7616.json,5#5,0.0010778374271467328#0.0010778374271467328,0.012420689300411712#0.012420689300411712,0#0,0#0,0#0,1#1,8.76#8.76,0#0,3#3,49.0#49.0,116.18830871582031#116.18830871582031,4#4,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0
4172,0#246#0,0#2449#4107,9012.json,5#4#4,0.0#7.131462916731834E-4#7.131462916731834E-4,0.001972940826202909#0.00763456679837366#0.00763456679837366,0#0#0,0#0#0,0#0#0,1#1#1,10.85#9.8#9.8,0#0#0,10#8#8,67.0#53.0#53.0,115.2214584350586#119.89240264892578#119.89240264892578,1#1#1,0#0#0,0#5#0,0#2#0,0#69#0,0#54#0,0#0#0,0#0#0,0#0#0
5293,0#0,0#5228,15038.json,3#3,0.5034839510917664#0.5034839510917664,0.8540982191936761#0.8540982191936761,0#0,0#0,0#0,1#1,3.77#3.77,0#0,0#0,14.0#14.0,132.4454345703125#132.4454345703125,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
3690,0#160#0,0#1265#3624,14865.json,4#3#3,0.3672431707382202#0.7810609340667725#0.7810609340667725,0.7528880083461039#0.8668952071353309#0.8668952071353309,0#0#0,0#0#0,0#0#0,1#1#1,4.0#3.77#3.77,0#0#0,1#0#0,20.0#14.0#14.0,125.64796447753906#132.4454345703125#132.4454345703125,1#1#1,0#0#0,0#1#0,0#0#0,0#42#0,0#44#0,0#0#0,0#0#0,0#0#0
1498,0#107#1446#0,0#503#686#1432,17431.json,9#8#8#8,0.1291767954826355#0.28248968720436096#0.28248968720436096#0.28248968720436096,0.448519669244375#0.5647381903713404#0.5647381903713404#0.5647381903713404,2#2#2#2,2#2#2#2,4#4#4#4,3#3#3#3,5.9#6.24#6.24#6.24,2#0#0#0,3#3#3#3,42.0#39.0#39.0#39.0,107.95787048339844#110.2513198852539#110.2513198852539#110.2513198852539,0#0#0#0,0#0#0#0,0#8#0#0,0#4#0#0,0#13#0#0,0#16#0#0,0#0#0#0,0#0#0#0,0#0#0#0
1503,0#27#90#20#0,0#2#37#1244#1437,14805.json,5#4#3#3#3,0.7397370934486389#0.8373069167137146#0.9877937436103821#0.976082980632782#0.976082980632782,0.6280429730515446#0.52093744700672#0.5320665107069602#0.5196065430164278#0.5196065430164278,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,10.85#9.8#64.75#4.0#4.0,0#0#0#0#0,3#2#2#2#2,24.0#24.0#24.0#24.0#24.0,120.74615478515625#124.361083984375#129.0215301513672#129.0215301513672#129.0215301513672,1#1#1#1#1,0#0#0#0#0,0#5#4#4#0,0#2#2#2#0,0#50#29#26#0,0#45#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
2265,0#360#135#38#21#36#0,0#177#196#1091#1238#1242#2200,1402.json,7#8#8#7#6#6#6,5.581160075962543E-4#0.0#0.0#0.0#0.019872872158885002#0.02280789613723755#0.02280789613723755,0.0021138614247588937#2.4717272730298014E-4#9.648423447931822E-5#8.624886800368609E-5#0.011873940129176976#0.011917092101148285#0.011917092101148285,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,2#2#2#2#2#2#2,5.11#7.0#7.0#7.92#5.5#5.5#5.5,1#1#1#0#0#0#0,5#8#9#9#3#3#3,66.0#81.0#86.0#85.0#57.0#57.0#57.0,108.9587173461914#105.58686828613281#105.23118591308594#107.45521545410156#112.32486724853516#112.32486724853516#112.32486724853516,3#3#3#3#3#3#3,2#2#2#2#2#2#2,0#4#2#5#3#2#0,0#3#1#2#1#1#0,0#120#22#58#116#8#0,0#62#22#16#112#8#0,0#0#0#0#0#0#0,0#0#0#0#1#0#0,0#0#0#0#1#0#0
1911,0#71#0,0#1033#1846,15460.json,51#51#51,0.0#0.0#0.0,0.9999999993940085#0.9999999994524629#0.9999999994524629,0#0#0,0#0#0,0#0#0,1#1#1,22.75#22.75#22.75,0#0#0,22#21#21,23.0#20.0#20.0,90.76985168457031#91.49662017822266#91.49662017822266,0#0#0,0#0#0,0#2#0,0#1#0,0#46#0,0#46#0,0#0#0,0#0#0,0#0#0
3516,0#29#486#376#394#0,0#2240#2327#2682#2688#3450,10218.json,6#6#5#5#5#5,0.09866777807474136#0.23569263517856598#0.6200932860374451#0.6187158226966858#0.6207812428474426#0.6207812428474426,0.2322438346607781#0.2751734658138351#0.31339048199326225#0.30929215275499683#0.31533759655096805#0.31533759655096805,2#1#1#1#1#1,1#1#1#1#1#1,3#2#2#2#2#2,2#2#2#2#2#2,5.5#5.5#5.99#5.99#5.99#5.99,1#1#0#0#0#0,3#3#3#3#3#3,39.0#37.0#36.0#36.0#36.0#36.0,114.85173034667969#115.12547302246094#118.2215576171875#118.2215576171875#118.2215576171875#118.2215576171875,2#2#2#2#2#2,0#0#0#0#0#0,0#4#4#2#2#0,0#2#2#1#1#0,0#18#5#4#3#0,0#18#8#4#3#0,0#0#0#0#0#0,0#1#0#0#0#0,0#1#0#0#0#0
3690,0#230#0,0#2158#3624,13716.json,2#2#2,0.9994780421257019#0.9994503259658813#0.9994503259658813,0.9314837816379907#0.9477249827039282#0.9477249827039282,0#0#0,0#0#0,0#0#0,1#1#1,3.92#3.92#3.92,0#0#0,0#0#0,11.0#9.0#9.0,140.82913208007812#142.4026641845703#142.4026641845703,1#0#0,0#0#0,0#2#0,0#1#0,0#27#0,0#27#0,0#0#0,0#0#0,0#0#0
1531,0#0,0#1466,13867.json,3#3,0.71534663438797#0.71534663438797,0.9048735801404347#0.9048735801404347,0#0,0#0,0#0,1#1,3.77#3.77,0#0,0#0,13.0#13.0,132.9956512451172#132.9956512451172,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
3355,0#881#745#799#1446#0,0#958#1721#1731#2544#3290,18429.json,14#14#14#14#14#14,0.00617177551612258#0.0033769067376852036#0.012856735847890377#0.02309351973235607#0.023418903350830078#0.023418903350830078,1.620347925463179E-4#1.4813210998476244E-4#9.70911889035234E-4#0.0015873542222893768#0.0018647571735302387#0.0018647571735302387,3#3#3#3#2#2,2#2#2#2#2#2,5#5#5#5#4#4,2#2#2#2#2#2,2.49#2.49#2.49#2.49#2.49#2.49,1#1#1#1#1#1,8#8#8#6#5#5,93.0#93.0#83.0#81.0#80.0#80.0,95.71593475341797#95.71593475341797#96.39425659179688#96.56705474853516#96.63165283203125#96.63165283203125,2#2#2#2#2#2,1#1#1#1#1#1,0#8#4#4#2#0,0#4#2#2#1#0,0#21#50#86#3#0,0#21#50#86#3#0,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0
5242,0#384#90#0,0#3409#3776#5177,5204.json,7#5#5#5,0.3437407314777374#0.2330331951379776#0.003690448123961687#0.003690448123961687,0.02436205462679509#0.1758508656907568#0.07498504899304229#0.07498504899304229,2#0#0#0,1#0#0#0,3#0#0#0,2#1#1#1,5.11#6.93#3.92#3.92,1#0#0#0,0#1#1#1,54.0#43.0#43.0#43.0,110.16584014892578#117.22039794921875#117.22039794921875#117.22039794921875,2#2#2#2,2#1#1#1,0#7#3#0,0#4#0#0,0#51#78#0,0#63#0#0,0#0#0#0,0#0#0#0,0#0#0#0
2961,0#0,0#2895,17393.json,3#3,0.8629965782165527#0.8629965782165527,0.8442969223840108#0.8442969223840108,0#0,0#0,0#0,1#1,3.77#3.77,0#0,0#0,14.0#14.0,132.4454345703125#132.4454345703125,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
5293,0#1446#0,0#4482#5228,11056.json,3#3#3,0.9070319533348083#0.9070319533348083#0.9070319533348083,0.8683016768375628#0.8683016768375628#0.8683016768375628,0#0#0,0#0#0,0#0#0,1#1#1,3.77#3.77#3.77,0#0#0,0#0#0,13.0#13.0#13.0,132.9956512451172#132.9956512451172#132.9956512451172,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
2710,0#101#0,0#48#2645,9219.json,15#15#15,0.08243585377931595#0.08243585377931595#0.08945860713720322,0.015497673904292925#0.015497673904292925#0.008037409653319219,3#3#3,3#3#3,6#6#6,4#4#4,1.15#1.15#4.59,1#1#1,4#4#4,79.0#79.0#79.0,95.26921844482422#95.26921844482422#95.26921844482422,1#1#1,1#1#1,0#0#0,0#0#0,0#0#62,0#0#0,0#0#0,0#0#0,0#0#0
1948,0#1465#61#5#0,0#973#1290#1735#1883,10456.json,5#5#5#5#5,0.0#0.0#0.0#0.0#0.0,7.334973770891942E-5#1.1843106297333234E-4#1.0683687302594282E-4#6.985766168809408E-5#6.985766168809408E-5,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,3.92#3.92#3.92#3.92#3.92,0#0#0#0#0,5#5#5#5#5,79.0#76.0#76.0#78.0#78.0,113.60690307617188#113.80821228027344#113.80821228027344#113.6271743774414#113.6271743774414,4#4#4#4#4,2#2#2#2#2,0#4#2#2#0,0#2#1#1#0,0#12#9#11#0,0#12#9#11#0,0#0#0#0#0,0#0#1#0#0,0#0#1#0#0
