Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
552,0#129,0#349,104.json,3#3,0.05064700171351433#0.003488958813250065,0.6263276792091207#0.29762908940763066,0#0,0#0,0#0,1#1,1.89#1.89,0#0,1#1,22.0#29.0,129.69032287597656#127.8512954711914,2#3,0#0,0#4,0#2,0#62,0#62,0#1,0#1,0#1
959,0,0,9640.json,19,0.020055536180734634,4.651012520633828E-5,4,4,8,5,2.92,2,8,117.0,88.59227752685547,1,5,0,0,0,0,0,0,0
340,0,0,761.json,3,9.268092107959092E-4,0.11214771014360067,1,1,2,2,1.89,0,4,38.0,126.21578216552734,0,0,0,0,0,0,0,0,0
3066,0#0#408#25,0#8#8#1721,2260.json,3#3#3#3,0.26985231041908264#0.26985231041908264#0.26985231041908264#0.2634488344192505,0.7740080738549405#0.7740080738549405#0.7740080738549405#0.7692118203581828,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,0#0#0#0,17.0#17.0#17.0#17.0,131.03103637695312#131.03103637695312#131.03103637695312#131.03103637695312,0#0#0#0,0#0#0#0,0#0#0#2,0#0#0#1,0#0#0#9,0#0#0#9,0#0#0#0,0#0#0#0,0#0#0#1
3066,0#0#408#301#67#2#4#47,0#8#8#1876#1910#2026#2086#2810,14843.json,21#21#21#34#48#56#66#5,9.125747019425035E-4#9.125747019425035E-4#9.125747019425035E-4#0.0#0.0#0.0#0.0#0.008365108631551266,1.7779256331723697E-8#1.7779256331723697E-8#1.7779256331723697E-8#2.5848343287527744E-16#6.695887404199719E-24#8.390837119124915E-30#7.904464514531252E-33#0.46431625355603834,2#2#2#2#6#10#11#0,2#2#2#2#6#9#10#0,4#4#4#4#12#19#21#0,4#4#4#6#11#14#16#1,4.98#4.98#4.98#3.58#3.76#4.32#4.3#1.96,2#2#2#2#3#4#4#0,14#14#14#26#33#45#48#1,152.0#152.0#152.0#261.0#354.0#423.0#467.0#31.0,85.42012786865234#85.42012786865234#85.42012786865234#73.95380401611328#65.37777709960938#61.149349212646484#57.43758010864258#119.2291259765625,2#2#2#2#2#2#2#2,7#7#7#14#15#16#17#0,0#0#0#21#36#9#13#77,0#0#0#19#25#9#12#3,0#0#0#958#641#501#539#3497,0#0#0#749#527#427#465#3023,0#0#0#0#0#0#0#1,0#0#0#0#0#1#0#1,0#0#0#0#0#1#1#1
232,0,0,7760.json,3,0.7156389951705933,0.9067805128444386,0,0,0,1,1.89,0,0,17.0,131.28770446777344,1,0,0,0,0,0,0,0,0
846,0#30#204#3,0#224#424#775,13448.json,19#19#19#11,0.0#0.0#0.0#0.00862353015691042,3.2661128640309007E-9#3.2437329883952355E-9#3.2436205712302945E-9#0.0010510743279891625,3#3#3#2,3#3#3#4,6#6#6#6,4#4#4#4,5.86#5.86#5.86#5.51,2#2#2#2,12#12#12#4,147.0#147.0#147.0#79.0,87.11268615722656#87.11268615722656#87.11268615722656#99.97010803222656,2#2#2#2,4#4#4#1,0#2#2#20,0#1#1#6,0#47#3#858,0#47#3#771,0#0#1#1,0#1#1#1,0#1#1#1
679,0#2#8,0#6#7,9801.json,24#24#23,1.0733019007602707E-4#0.0#0.0,6.925817439582195E-9#6.480438667151943E-9#1.7082909304803276E-9,1#1#1,2#2#2,3#3#3,5#5#5,4.58#4.58#4.76,2#2#2,17#17#15,169.0#169.0#168.0,82.5426025390625#82.5426025390625#83.2177963256836,2#2#3,1#1#1,0#10#5,0#5#1,0#66#157,0#66#92,0#0#0,0#1#1,0#1#1
232,0#57,0#34,6599.json,3#3,0.5040585994720459#0.5040585994720459,0.8580613100576158#0.8580613100576158,0#0,0#0,0#0,1#1,1.89#1.89,0#0,1#1,15.0#15.0,132.086669921875#132.086669921875,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#1,0#1
885,0,0,10470.json,3,0.10247638076543808,0.7709623716341641,0,0,0,1,1.89,0,0,17.0,131.28770446777344,1,0,0,0,0,0,0,0,0
3066,0#0#408#104#2#4#61#301#253#10#199,0#8#8#571#953#1152#1655#1876#1876#2030#2123,3678.json,35#35#35#39#39#40#62#44#68#73#73,1.137837243732065E-4#1.137837243732065E-4#1.137837243732065E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,1.3588674896279665E-14#1.3588674896279665E-14#1.3588674896279665E-14#1.5119135457794196E-17#1.995970066656209E-17#3.2133515344861256E-18#1.837853255144436E-27#6.604136107530061E-21#4.1136474932462174E-32#9.613051497456515E-34#3.149869672875558E-33,6#6#6#8#8#8#10#9#13#13#13,6#6#6#8#7#7#11#8#13#13#13,12#12#12#16#15#15#21#17#26#26#26,8#8#8#9#9#9#13#10#16#16#16,7.18#7.18#7.18#5.35#5.35#5.29#4.74#5.13#5.53#5.36#5.36,5#5#5#5#5#5#5#5#5#5#5,27#27#27#31#31#33#51#39#51#55#55,246.0#246.0#246.0#280.0#278.0#287.0#421.0#319.0#463.0#485.0#479.0,73.37683868408203#73.37683868408203#73.37683868408203#70.6190185546875#70.64262390136719#70.04003143310547#59.82672882080078#67.64027404785156#57.02626419067383#55.598876953125#55.65468978881836,3#3#3#3#3#3#3#3#3#3#3,7#7#7#8#8#8#10#8#12#12#12,0#0#0#4#2#1#31#31#25#7#4,0#0#0#4#1#1#29#4#25#6#2,0#0#0#336#19#55#1653#1495#1281#213#20,0#0#0#280#19#51#1122#980#1146#135#20,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#1#0#0#0#0#0,0#0#0#1#0#1#0#0#0#1#1
3066,0#0#408,0#8#8,5747.json,3#3#3,0.19118227064609528#0.19118227064609528#0.19118227064609528,0.8220639670564176#0.8220639670564176#0.8220639670564176,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,18.0#18.0#18.0,130.85629272460938#130.85629272460938#130.85629272460938,1#1#1,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
1002,0#11,0#210,13847.json,3#3,0.1566249579191208#0.1566249579191208,0.8629217037565853#0.8629217037565853,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,17.0#17.0,131.28770446777344#131.28770446777344,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
2911,0,0,2810.json,3,0.774273157119751,0.9595724646126251,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
1028,0#41,0#41,2294.json,8#12,0.24690429866313934#0.18276020884513855,0.40790320192468443#0.20244193008879066,1#2,1#2,2#4,2#3,2.83#2.31,1#1,2#2,44.0#60.0,109.326904296875#100.77908325195312,1#1,1#2,0#10,0#7,0#113,0#97,0#0,0#0,0#0
1028,0,0,15403.json,10,0.001064756652340293,3.927254583351203E-7,1,1,2,2,4.45,1,6,120.0,99.42711639404297,0,4,0,0,0,0,0,0,0
3066,0#0#408,0#8#8,1843.json,3#3#3,0.6197016835212708#0.6197016835212708#0.6197016835212708,0.9381677404343414#0.9381677404343414#0.9381677404343414,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
3066,0#0#408,0#8#8,2249.json,13#13#13,0.11844470351934433#0.11844470351934433#0.11844470351934433,0.03142842000728284#0.03142842000728284#0.03142842000728284,1#1#1,1#1#1,2#2#2,3#3#3,4.26#4.26#4.26,2#2#2,10#10#10,79.0#79.0#79.0,97.7653579711914#97.7653579711914#97.7653579711914,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
2115,0,0,3815.json,3,0.3273913860321045,0.8009675159648902,0,0,0,1,1.89,0,1,17.0,131.28770446777344,0,0,0,0,0,0,0,0,0
1464,0,0,3173.json,3,0.7877190709114075,0.8892726844542809,0,0,0,1,1.89,0,0,13.0,132.9956512451172,0,0,0,0,0,0,0,0,0
2408,0#407,0#1252,5277.json,4#6,0.955613911151886#0.031009884551167488,0.6066041789873032#0.029248930260502713,0#2,0#2,0#4,1#2,1.96#3.27,0#1,2#6,28.0#49.0,123.28931427001953#113.05679321289062,0#0,1#1,0#10,0#5,0#161,0#145,0#0,0#0,0#0
887,0,0,12309.json,3,0.027359655126929283,0.9233104364948737,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
2470,0,0,4587.json,3,0.10247638076543808,0.7987703137552431,0,0,0,1,1.89,0,0,17.0,131.28770446777344,1,0,0,0,0,0,0,0,0
932,0,0,474.json,5,0.0020095044746994972,0.030721989604927613,0,0,0,1,1.96,0,4,47.0,116.5115737915039,2,1,0,0,0,0,0,0,0
175,0,0,5352.json,3,0.30731403827667236,0.8501952984805818,0,0,0,1,1.89,0,0,17.0,131.28770446777344,1,0,0,0,0,0,0,0,0
1156,0,0,5916.json,6,0.27886590361595154,0.5855801599039815,0,0,0,1,1.89,0,3,36.0,115.78799438476562,0,1,0,0,0,0,0,0,0
2944,0#407,0#1788,6394.json,31#31,0.0#0.0,3.915480109974157E-12#3.84116350083468E-12,5#5,4#4,9#9,5#5,4.0#4.0,2#2,28#28,217.0#217.0,76.90744018554688#76.90744018554688,2#2,3#3,0#2,0#1,0#6,0#6,0#0,0#0,0#0
3066,0#0#408#129,0#8#8#2152,8517.json,3#3#3#3,0.7612021565437317#0.7612021565437317#0.7612021565437317#0.8897861242294312,0.9556124259986831#0.9556124259986831#0.9556124259986831#0.9536130144172095,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,0#0#0#0,12.0#12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0,0#0#0#0,0#0#0#2,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#0,0#0#0#1,0#0#0#1
3066,0#0#408#209#3#199#1,0#8#8#1910#1944#2123#3017,922.json,33#33#33#33#33#33#33,3.388462064322084E-4#3.388462064322084E-4#3.388462064322084E-4#2.526108582969755E-4#3.0436611268669367E-4#3.0052068177610636E-4#2.2182425891514868E-4,2.2670258912298853E-14#2.2670258912298853E-14#2.2670258912298853E-14#1.4881470975672008E-14#2.311243071046953E-14#3.612141983610036E-14#2.424050042335567E-14,9#9#9#9#9#9#9,6#6#6#6#6#6#6,15#15#15#15#15#15#15,8#8#8#8#8#8#8,6.48#6.48#6.48#6.48#6.48#6.48#6.48,4#4#4#4#4#4#4,19#19#19#19#19#19#19,244.0#244.0#244.0#244.0#242.0#239.0#239.0,74.43572235107422#74.43572235107422#74.43572235107422#74.43572235107422#74.47852325439453#74.5271987915039#74.5271987915039,5#5#5#5#5#5#5,6#6#6#6#6#6#6,0#0#0#2#2#2#3,0#0#0#1#1#1#1,0#0#0#7#16#10#115,0#0#0#6#16#10#106,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#1#1#1
3066,0#0#408#20#13#1,0#8#8#1910#1962#2596,13704.json,10#10#10#12#18#18,0.018123304471373558#0.018123304471373558#0.018123304471373558#0.012807724997401237#9.2950405087322E-4#5.371594452299178E-4,6.945742394383641E-4#6.945742394383641E-4#6.945742394383641E-4#2.793841918694643E-4#4.319579052825307E-6#2.8131867961327254E-6,0#0#0#0#1#1,0#0#0#0#1#1,0#0#0#0#2#2,1#1#1#1#2#2,3.1#3.1#3.1#1.97#2.67#2.27,0#0#0#0#1#1,8#8#8#9#13#13,80.0#80.0#80.0#88.0#121.0#123.0,101.988037109375#101.988037109375#101.988037109375#98.43785858154297#89.72704315185547#89.64179229736328,2#2#2#2#2#2,3#3#3#4#5#5,0#0#0#3#17#22,0#0#0#2#12#11,0#0#0#82#271#468,0#0#0#66#246#431,0#0#0#0#0#0,0#0#0#1#0#0,0#0#0#1#1#1
330,0,0,12174.json,3,0.019505245611071587,0.7641610562878131,0,0,0,1,1.89,0,0,17.0,131.28770446777344,1,0,0,0,0,0,0,0,0
1490,0#199#129#17,0#547#575#1118,3848.json,49#49#49#49,0.0#0.0#0.0#0.0,7.324925430559728E-17#1.1930776144007665E-16#1.2008177882340087E-16#3.9011804815007786E-16,1#1#1#1,5#5#5#5,6#6#6#6,8#8#8#8,6.41#6.41#6.41#6.41,4#4#4#4,27#27#27#26,296.0#293.0#293.0#289.0,66.82182312011719#66.8616943359375#66.8616943359375#66.95956420898438,2#2#2#2,6#6#6#6,0#2#4#4,0#1#2#2,0#10#22#23,0#10#22#23,0#0#0#0,0#0#1#1,0#1#1#1
2719,0#136,0#310,12067.json,3#3,0.048799626529216766#0.048799626529216766,0.7396074725468396#0.7396074725468396,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,18.0#18.0,130.85629272460938#130.85629272460938,1#1,0#0,0#3,0#3,0#0,0#0,0#0,0#1,0#0
1112,0#6,0#757,4535.json,3#3,0.32940027117729187#0.32940027117729187,0.8737621984402857#0.8737621984402857,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,17.0#17.0,131.28770446777344#131.28770446777344,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#1
154,0,0,6177.json,24,0.0,4.504917168762531E-15,0,0,0,1,1.97,0,33,221.0,81.8595962524414,3,1,0,0,0,0,0,0,0
1190,0,0,274.json,4,0.02001933939754963,0.1793692346322262,0,0,0,1,2.0,0,4,37.0,121.76114654541016,2,1,0,0,0,0,0,0,0
3066,0#0#408,0#8#8,9750.json,3#3#3,0.012086521834135056#0.012086521834135056#0.012086521834135056,0.8145366510107559#0.8145366510107559#0.8145366510107559,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,17.0#17.0#17.0,131.28770446777344#131.28770446777344#131.28770446777344,1#1#1,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
942,0#13#6,0#256#769,10899.json,23#23#24,0.0012713460018858314#9.778328239917755E-4#0.0011635107221081853,1.2689750427630345E-6#5.137826941271648E-7#2.1086613941053565E-7,4#4#3,3#3#3,7#7#6,4#4#4,4.08#4.08#4.0,3#3#3,8#8#8,133.0#137.0#143.0,84.77934265136719#84.60083770751953#83.66461181640625,2#2#2,3#3#4,0#4#5,0#2#3,0#24#62,0#24#58,0#0#0,0#0#0,0#1#1
3066,0#0#408,0#8#8,3599.json,3#3#3,0.682427704334259#0.682427704334259#0.682427704334259,0.96157195954325#0.96157195954325#0.96157195954325,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
1190,0,0,260.json,3,0.6572340726852417,0.956574504598504,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
1156,0,0,14296.json,24,0.006340872496366501,7.389265708875509E-7,3,3,6,5,5.02,3,9,143.0,83.32291412353516,1,6,0,0,0,0,0,0,0
1526,0#36#129,0#587#612,7920.json,3#3#3,0.6206977963447571#0.6378620862960815#0.6378620862960815,0.907265351368669#0.8974521935118039#0.8974521935118039,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,17.0#17.0#17.0,131.28770446777344#131.28770446777344#131.28770446777344,1#1#1,0#0#0,0#2#0,0#1#0,0#5#0,0#5#0,0#0#0,0#0#1,0#1#1
993,0#28#61,0#7#12,6974.json,21#21#21,0.0#1.1010770685970783E-4#1.1004488624166697E-4,4.958305126275128E-8#7.209234707645512E-8#7.231804731164179E-8,3#3#3,2#2#2,5#5#5,4#4#4,2.65#2.65#2.65,2#2#2,13#13#13,155.0#153.0#153.0,85.53397369384766#85.60150909423828#85.60150909423828,2#2#2,5#5#5,0#2#2,0#1#1,0#28#3,0#28#3,0#1#1,0#1#1,0#1#1
2352,0#11,0#2339,5181.json,3#3,0.8626719117164612#0.8626719117164612,0.9619435083667784#0.9619435083667784,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,12.0#12.0,133.59722900390625#133.59722900390625,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#1
2468,0,0,3511.json,7,0.15031792223453522,0.5831773875834769,1,1,2,2,3.02,1,1,34.0,112.90506744384766,0,1,0,0,0,0,0,0,0
3066,0#0#408#5#81#81#90,0#8#8#474#2158#2159#2163,3985.json,8#8#8#12#12#12#12,0.058418430387973785#0.058418430387973785#0.058418430387973785#0.027864711359143257#0.02594371885061264#0.027864711359143257#0.02594371885061264,0.1499766125448063#0.1499766125448063#0.1499766125448063#0.02603587512141581#0.025822035968944123#0.02603587512141581#0.025822035968944123,0#0#0#1#1#1#1,0#0#0#1#1#1#1,0#0#0#2#2#2#2,1#1#1#2#2#2#2,3.97#3.97#3.97#4.85#4.85#4.85#4.85,1#1#1#2#2#2#2,2#2#2#4#4#4#4,48.0#48.0#48.0#64.0#64.0#64.0#64.0,108.84510040283203#108.84510040283203#108.84510040283203#100.156494140625#100.156494140625#100.156494140625#100.156494140625,2#2#2#2#2#2#2,0#0#0#0#0#0#0,0#0#0#17#2#2#2,0#0#0#10#1#1#1,0#0#0#151#3#3#3,0#0#0#135#3#3#3,0#0#0#0#0#0#0,0#0#0#0#1#0#1,0#0#0#0#1#1#1
2911,0,0,2930.json,3,0.9652483463287354,0.9327458694385431,0,0,0,1,1.89,0,0,13.0,132.9956512451172,0,0,0,0,0,0,0,0,0
885,0,0,11064.json,3,0.9384411573410034,0.9517883160536846,0,0,0,1,1.89,0,0,13.0,132.9956512451172,0,0,0,0,0,0,0,0,0
1526,0#129#35,0#612#1038,8103.json,10#10#12,0.005616580601781607#0.005616580601781607#0.0015786829171702266,0.001200735320510737#0.001200735320510737#4.510155874185677E-5,3#3#4,4#4#5,7#7#9,4#4#5,2.8#2.8#2.75,1#1#2,2#2#4,73.0#73.0#94.0,101.80999755859375#101.80999755859375#97.24114227294922,3#3#3,0#0#0,0#0#4,0#0#3,0#0#128,0#0#120,0#0#0,0#1#0,0#1#1
2345,0#109#129#11,0#184#1431#2332,7453.json,3#3#3#3,0.5963600277900696#0.5785370469093323#0.5785370469093323#0.5785370469093323,0.9209315152789717#0.88843562990281#0.88843562990281#0.88843562990281,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,0#0#0#0,17.0#17.0#17.0#17.0,131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344,1#1#1#1,0#0#0#0,0#6#0#0,0#3#0#0,0#12#0#0,0#0#0#0,0#0#0#0,0#1#1#0,0#1#1#1
1036,0#100,0#548,10773.json,3#3,0.5466670393943787#0.6847293972969055,0.6334771269606224#0.8454263584889745,0#0,0#0,0#0,1#1,1.89#1.89,0#0,3#2,22.0#18.0,129.81280517578125#131.1385955810547,1#1,0#0,0#2,0#1,0#49,0#49,0#0,0#0,0#1
2944,0#4,0#130,2527.json,3#3,0.5004443526268005#0.6853105425834656,0.6149502685646724#0.7929464209770833,0#0,0#0,0#0,1#1,1.89#1.89,0#0,2#1,22.0#18.0,129.69032287597656#130.99049377441406,1#1,0#0,0#2,0#1,0#27,0#27,0#0,0#0,0#0
3066,0#0#408,0#8#8,9731.json,3#3#3,0.16414585709571838#0.16414585709571838#0.16414585709571838,0.9319763575468044#0.9319763575468044#0.9319763575468044,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
1036,0#18#239#126,0#0#0#150,11138.json,3#3#3#3,0.9289069771766663#0.9289069771766663#0.8307777643203735#0.8307777643203735,0.9670741135246529#0.9670741135246529#0.9405808212071939#0.9405808212071939,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,0#0#0#0,12.0#12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0,0#0#0#0,0#0#4#0,0#0#2#0,0#0#22#0,0#0#22#0,0#0#0#0,0#0#0#0,0#1#1#1
746,0,0,3466.json,16,0.0,2.0232062385009084E-8,1,1,2,2,4.58,2,14,136.0,90.95413208007812,3,3,0,0,0,0,0,0,0
1180,0,0,794.json,3,0.3467017710208893,0.8182246263181968,0,0,0,1,1.89,0,1,17.0,131.43582153320312,0,0,0,0,0,0,0,0,0
2344,0#19,0#17,3191.json,3#3,0.5374706983566284#0.5374706983566284,0.8462375327719236#0.8462375327719236,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,17.0#17.0,131.28770446777344#131.28770446777344,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
2944,0#23#20,0#2247#2254,11590.json,26#30#38,0.016517972573637962#0.0017468445003032684#0.0,3.440579574443868E-5#2.5819319989322966E-6#1.235911457800049E-8,2#2#2,5#7#11,7#9#13,8#10#14,4.8#4.55#4.17,3#3#3,6#8#12,129.0#149.0#189.0,82.19176483154297#78.58113098144531#72.44657135009766,2#2#2,0#0#0,0#4#8,0#4#8,0#180#362,0#164#330,0#0#0,0#0#0,0#0#1
1103,0#6,0#73,12805.json,28#11,0.003762744599953294#0.02878246083855629,2.457609544504811E-8#0.021699975732664557,5#2,4#1,9#3,5#3,4.79#3.56,4#2,13#6,171.0#69.0,79.91720581054688#101.28197479248047,0#0,7#1,0#34,0#7,0#902,0#776,0#0,0#0,0#1
421,0,0,9979.json,3,0.786564826965332,0.8555095935320673,0,0,0,1,1.89,0,0,17.0,131.03103637695312,1,0,0,0,0,0,0,0,0
2365,0,0,26.json,3,0.6341770887374878,0.8868136246389806,0,0,0,1,1.89,0,0,17.0,131.28770446777344,1,0,0,0,0,0,0,0,0
578,0,0,326.json,4,1.2598789180628955E-4,0.010819391194295471,0,0,0,1,2.0,0,3,48.0,120.01702117919922,4,0,0,0,0,0,0,0,0
2911,0,0,2812.json,6,0.21943527460098267,0.7658062876649606,1,1,2,2,2.75,1,1,30.0,116.50606536865234,0,0,0,0,0,0,0,0,0
3066,0#0#408#25,0#8#8#1721,2253.json,3#3#3#3,0.30254265666007996#0.30254265666007996#0.30254265666007996#0.3072824776172638,0.9111952085930087#0.9111952085930087#0.9111952085930087#0.9128720364508732,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,0#0#0#0,12.0#12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0,0#0#0#0,0#0#0#2,0#0#0#1,0#0#0#9,0#0#0#9,0#0#0#0,0#0#0#0,0#0#0#1
2944,0,0,5045.json,3,0.892043948173523,0.949465163138319,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
3066,0#0#408,0#8#8,3686.json,3#3#3,0.21959763765335083#0.21959763765335083#0.21959763765335083,0.9392521987907995#0.9392521987907995#0.9392521987907995,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
1103,0#11#129#25,0#40#188#362,1454.json,24#24#24#23,0.0#0.0#0.0#0.0,3.6012069582333355E-8#3.000008213139269E-8#2.9716025320003553E-8#1.013923356822655E-7,2#2#2#2,2#2#2#2,4#4#4#4,3#3#3#3,3.2#3.2#3.2#3.25,2#2#2#2,10#11#11#10,157.0#157.0#157.0#150.0,83.5886459350586#83.56101989746094#83.56101989746094#84.54364013671875,0#0#0#0,0#0#0#0,0#2#2#1,0#1#1#0,0#76#7#43,0#68#7#39,0#0#0#0,0#0#1#1,0#0#1#1
885,0,0,10336.json,3,0.15661437809467316,0.8098025323917062,0,0,0,1,1.89,0,0,17.0,131.28770446777344,1,0,0,0,0,0,0,0,0
3066,0#0#408,0#8#8,4917.json,4#4#3,4.350229282863438E-4#4.350229282863438E-4#0.15085220336914062,0.16911745405021933#0.16911745405021933#0.835630416567878,0#0#0,0#0#0,0#0#0,1#1#1,3.32#3.32#1.89,0#0#0,1#1#1,34.0#34.0#16.0,122.12659454345703#122.12659454345703#131.91592407226562,2#2#0,0#0#0,0#0#5,0#0#2,0#0#171,0#0#159,0#0#0,0#0#0,0#0#0
3066,0#0#408#17,0#8#8#707,4180.json,4#4#5#7,0.0#0.0#0.0#0.0,0.011468403458819422#0.011468403458819422#0.008536041493026506#0.0029629534598404794,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,3.32#3.32#4.66#2.56,0#0#0#0,1#1#3#4,50.0#50.0#53.0#62.0,119.75027465820312#119.75027465820312#115.78025817871094#109.3259048461914,6#6#5#5,0#0#0#1,0#0#5#3,0#0#3#2,0#0#101#110,0#0#85#90,0#0#0#0,0#0#0#0,0#0#0#0
1028,0,0,2013.json,3,0.16887955367565155,0.7886962132580007,0,0,0,1,1.89,0,0,18.0,130.85629272460938,1,0,0,0,0,0,0,0,0
3066,0#0#408#15,0#8#8#934,1731.json,3#3#3#3,0.07867027074098587#0.07867027074098587#0.07867027074098587#0.06075822561979294,0.9207644017645524#0.9207644017645524#0.9207644017645524#0.9199675628578874,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,0#0#0#0,12.0#12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0,0#0#0#0,0#0#0#4,0#0#0#2,0#0#0#2,0#0#0#2,0#0#0#0,0#0#0#1,0#0#0#1
3066,0#0#408,0#8#8,2546.json,3#3#3,0.14109690487384796#0.14109690487384796#0.14109690487384796,0.8225003017274679#0.8225003017274679#0.8225003017274679,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#1#1,17.0#17.0#17.0,131.43582153320312#131.43582153320312#131.43582153320312,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
1190,0,0,6926.json,20,0.13114814460277557,0.02214537992650394,1,1,2,5,3.64,2,8,90.0,89.50508117675781,0,0,0,0,0,0,0,0,0
469,0,0,11728.json,3,0.012586215510964394,0.8926407276259336,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
1109,0#10,0#38,11685.json,3#3,0.48223933577537537#0.48223933577537537,0.9466063757763443#0.9466063757763443,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,12.0#12.0,133.59722900390625#133.59722900390625,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
230,0,0,2773.json,3,0.9016290307044983,0.9573123097035099,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
